custom_id,report_path,paper_type_primary,paper_type_empirical,paper_type_experimental,relevance_pgg_or_variant,relevance_punishment_or_sanctions,relevance_efficiency_or_related_payoff_outcome,outcomes_primary_outcome_type
10.1371_journal.pone.0155414,literature/output/paper_analysis_reports/broad_all/10.1371_journal.pone.0155414.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1371_journal.pone.0311612,literature/output/paper_analysis_reports/broad_all/10.1371_journal.pone.0311612.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.3390_bs14070519,literature/output/paper_analysis_reports/broad_all/10.3390_bs14070519.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.actpsy.2025.105088,literature/output/paper_analysis_reports/broad_all/10.1016_j.actpsy.2025.105088.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.drugalcdep.2013.08.013,literature/output/paper_analysis_reports/broad_all/10.1016_j.drugalcdep.2013.08.013.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1098_rspb.2016.0694,literature/output/paper_analysis_reports/broad_all/10.1098_rspb.2016.0694.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.3200_socp.148.5.609-630,literature/output/paper_analysis_reports/broad_all/10.3200_socp.148.5.609-630.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1002_ejsp.227,literature/output/paper_analysis_reports/broad_all/10.1002_ejsp.227.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.amc.2023.128445,literature/output/paper_analysis_reports/broad_all/10.1016_j.amc.2023.128445.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.econlet.2012.08.014,literature/output/paper_analysis_reports/broad_all/10.1016_j.econlet.2012.08.014.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.jtbi.2022.111052,literature/output/paper_analysis_reports/broad_all/10.1016_j.jtbi.2022.111052.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.physa.2007.04.099,literature/output/paper_analysis_reports/broad_all/10.1016_j.physa.2007.04.099.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.physa.2021.126379,literature/output/paper_analysis_reports/broad_all/10.1016_j.physa.2021.126379.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1017_ehs.2023.15,literature/output/paper_analysis_reports/broad_all/10.1017_ehs.2023.15.md,empirical,experimental,field_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1037_a0020280,literature/output/paper_analysis_reports/broad_all/10.1037_a0020280.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1037_xge0000154,literature/output/paper_analysis_reports/broad_all/10.1037_xge0000154.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1038_nature16980,literature/output/paper_analysis_reports/broad_all/10.1038_nature16980.md,empirical,experimental,field_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1038_s41598-020-61634-7,literature/output/paper_analysis_reports/broad_all/10.1038_s41598-020-61634-7.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1038_srep38304,literature/output/paper_analysis_reports/broad_all/10.1038_srep38304.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1051_mmnp_2023013,literature/output/paper_analysis_reports/broad_all/10.1051_mmnp_2023013.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1098_rspb.2008.1715,literature/output/paper_analysis_reports/broad_all/10.1098_rspb.2008.1715.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1287_mnsc.2014.2073,literature/output/paper_analysis_reports/broad_all/10.1287_mnsc.2014.2073.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1371_journal.pone.0114976,literature/output/paper_analysis_reports/broad_all/10.1371_journal.pone.0114976.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1371_journal.pone.0249339,literature/output/paper_analysis_reports/broad_all/10.1371_journal.pone.0249339.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.2147_prbm.S370155,literature/output/paper_analysis_reports/broad_all/10.2147_prbm.S370155.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1080_02699931.2022.2146057,literature/output/paper_analysis_reports/broad_all/10.1080_02699931.2022.2146057.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1155_2020_8276392,literature/output/paper_analysis_reports/broad_all/10.1155_2020_8276392.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.chaos.2024.114651,literature/output/paper_analysis_reports/broad_all/10.1016_j.chaos.2024.114651.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.3390_w16223166,literature/output/paper_analysis_reports/broad_all/10.3390_w16223166.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.jtbi.2009.12.030,literature/output/paper_analysis_reports/broad_all/10.1016_j.jtbi.2009.12.030.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_0272-4944(95)90005-5,literature/output/paper_analysis_reports/broad_all/10.1016_0272-4944(95)90005-5.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.amc.2020.125698,literature/output/paper_analysis_reports/broad_all/10.1016_j.amc.2020.125698.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.evolhumbehav.2025.106711,literature/output/paper_analysis_reports/broad_all/10.1016_j.evolhumbehav.2025.106711.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.jtbi.2004.12.015,literature/output/paper_analysis_reports/broad_all/10.1016_j.jtbi.2004.12.015.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.physa.2018.09.031,literature/output/paper_analysis_reports/broad_all/10.1016_j.physa.2018.09.031.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.physa.2020.124691,literature/output/paper_analysis_reports/broad_all/10.1016_j.physa.2020.124691.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.physa.2023.129038,literature/output/paper_analysis_reports/broad_all/10.1016_j.physa.2023.129038.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1038_s41598-018-34116-0,literature/output/paper_analysis_reports/broad_all/10.1038_s41598-018-34116-0.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1038_srep14783,literature/output/paper_analysis_reports/broad_all/10.1038_srep14783.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1111_bjop.12245,literature/output/paper_analysis_reports/broad_all/10.1111_bjop.12245.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1111_bjso.12450,literature/output/paper_analysis_reports/broad_all/10.1111_bjso.12450.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.18564_jasss.2090,literature/output/paper_analysis_reports/broad_all/10.18564_jasss.2090.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.18564_jasss.5194,literature/output/paper_analysis_reports/broad_all/10.18564_jasss.5194.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1177_105971230601400306,literature/output/paper_analysis_reports/broad_all/10.1177_105971230601400306.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.chaos.2023.113218,literature/output/paper_analysis_reports/broad_all/10.1016_j.chaos.2023.113218.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1038_s41598-021-95130-3,literature/output/paper_analysis_reports/broad_all/10.1038_s41598-021-95130-3.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.physleta.2023.129247,literature/output/paper_analysis_reports/broad_all/10.1016_j.physleta.2023.129247.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1002_cplx.20289,literature/output/paper_analysis_reports/broad_all/10.1002_cplx.20289.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.amc.2020.125705,literature/output/paper_analysis_reports/broad_all/10.1016_j.amc.2020.125705.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.amc.2021.126047,literature/output/paper_analysis_reports/broad_all/10.1016_j.amc.2021.126047.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.amc.2021.126074,literature/output/paper_analysis_reports/broad_all/10.1016_j.amc.2021.126074.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.amc.2023.128484,literature/output/paper_analysis_reports/broad_all/10.1016_j.amc.2023.128484.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.amc.2025.129381,literature/output/paper_analysis_reports/broad_all/10.1016_j.amc.2025.129381.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.biosystems.2024.105362,literature/output/paper_analysis_reports/broad_all/10.1016_j.biosystems.2024.105362.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.neucom.2024.127566,literature/output/paper_analysis_reports/broad_all/10.1016_j.neucom.2024.127566.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.physa.2015.07.006,literature/output/paper_analysis_reports/broad_all/10.1016_j.physa.2015.07.006.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.physa.2024.129999,literature/output/paper_analysis_reports/broad_all/10.1016_j.physa.2024.129999.md,empirical,experimental,other_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1038_s41598-018-36486-x,literature/output/paper_analysis_reports/broad_all/10.1038_s41598-018-36486-x.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1038_s41598-022-26890-9,literature/output/paper_analysis_reports/broad_all/10.1038_s41598-022-26890-9.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1103_PhysRevE.110.034307,literature/output/paper_analysis_reports/broad_all/10.1103_PhysRevE.110.034307.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1103_PhysRevE.81.036115,literature/output/paper_analysis_reports/broad_all/10.1103_PhysRevE.81.036115.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1103_PhysRevE.90.032802,literature/output/paper_analysis_reports/broad_all/10.1103_PhysRevE.90.032802.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1007_s10816-013-9194-3,literature/output/paper_analysis_reports/broad_all/10.1007_s10816-013-9194-3.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.physa.2024.129631,literature/output/paper_analysis_reports/broad_all/10.1016_j.physa.2024.129631.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.physa.2016.06.039,literature/output/paper_analysis_reports/broad_all/10.1016_j.physa.2016.06.039.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1098_rspb.2000.1266,literature/output/paper_analysis_reports/broad_all/10.1098_rspb.2000.1266.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.3934_math.2024452,literature/output/paper_analysis_reports/broad_all/10.3934_math.2024452.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1007_s11427-010-4016-2,literature/output/paper_analysis_reports/broad_all/10.1007_s11427-010-4016-2.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.amc.2018.01.045,literature/output/paper_analysis_reports/broad_all/10.1016_j.amc.2018.01.045.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1088_1742-5468_2009_09_p09012,literature/output/paper_analysis_reports/broad_all/10.1088_1742-5468_2009_09_p09012.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1103_PhysRevE.103.012304,literature/output/paper_analysis_reports/broad_all/10.1103_PhysRevE.103.012304.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1209_0295-5075_ac1364,literature/output/paper_analysis_reports/broad_all/10.1209_0295-5075_ac1364.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1371_journal.pone.0026652,literature/output/paper_analysis_reports/broad_all/10.1371_journal.pone.0026652.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1371_journal.pone.0175687,literature/output/paper_analysis_reports/broad_all/10.1371_journal.pone.0175687.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.3389_fpsyg.2019.01374,literature/output/paper_analysis_reports/broad_all/10.3389_fpsyg.2019.01374.md,empirical,experimental,other_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1038_nature04755,literature/output/paper_analysis_reports/broad_all/10.1038_nature04755.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1371_journal.pone.0329742,literature/output/paper_analysis_reports/broad_all/10.1371_journal.pone.0329742.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1038_nature07184,literature/output/paper_analysis_reports/broad_all/10.1038_nature07184.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1111_j.1468-0351.2005.00228.x,literature/output/paper_analysis_reports/broad_all/10.1111_j.1468-0351.2005.00228.x.md,empirical,observational,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.3934_math.20241583,literature/output/paper_analysis_reports/broad_all/10.3934_math.20241583.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1063_5.0135376,literature/output/paper_analysis_reports/broad_all/10.1063_5.0135376.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1073_pnas.1400827111,literature/output/paper_analysis_reports/broad_all/10.1073_pnas.1400827111.md,empirical,observational,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1073_pnas.2014759117,literature/output/paper_analysis_reports/broad_all/10.1073_pnas.2014759117.md,empirical,observational,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1093_sf_sot015,literature/output/paper_analysis_reports/broad_all/10.1093_sf_sot015.md,empirical,experimental,lab_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1098_rstb.2015.0010,literature/output/paper_analysis_reports/broad_all/10.1098_rstb.2015.0010.md,empirical,observational,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1086_510602,literature/output/paper_analysis_reports/broad_all/10.1086_510602.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1098_rstb.2015.0098,literature/output/paper_analysis_reports/broad_all/10.1098_rstb.2015.0098.md,theory,N/A,N/A,adjacent,adjacent,adjacent,N/R
10.1007_s10611-018-9768-9,literature/output/paper_analysis_reports/broad_all/10.1007_s10611-018-9768-9.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.geb.2005.03.001,literature/output/paper_analysis_reports/broad_all/10.1016_j.geb.2005.03.001.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1016_j.jtbi.2023.111715,literature/output/paper_analysis_reports/broad_all/10.1016_j.jtbi.2023.111715.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1038_s41467-017-02036-8,literature/output/paper_analysis_reports/broad_all/10.1038_s41467-017-02036-8.md,empirical,observational,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1086_687872,literature/output/paper_analysis_reports/broad_all/10.1086_687872.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1098_rsos.192090,literature/output/paper_analysis_reports/broad_all/10.1098_rsos.192090.md,empirical,experimental,field_experiment,adjacent,adjacent,adjacent,non_payoff_behavior
10.1111_j.0023-5962.2005.00280.x,literature/output/paper_analysis_reports/broad_all/10.1111_j.0023-5962.2005.00280.x.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1111_jlca.12283,literature/output/paper_analysis_reports/broad_all/10.1111_jlca.12283.md,empirical,observational,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1186_s12889-018-5218-y,literature/output/paper_analysis_reports/broad_all/10.1186_s12889-018-5218-y.md,empirical,observational,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1515_opphil-2019-0014,literature/output/paper_analysis_reports/broad_all/10.1515_opphil-2019-0014.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.3389_fpsyg.2016.00799,literature/output/paper_analysis_reports/broad_all/10.3389_fpsyg.2016.00799.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
10.1002_evan.21944,literature/output/paper_analysis_reports/broad_all/10.1002_evan.21944.md,theory,N/A,N/A,adjacent,adjacent,adjacent,non_payoff_behavior
