model,source_id,n_aug_runs,n_baseline_runs,correlation,correlation_mean_repeat,correlation_repeat_sd,correlation_repeat_se,baseline_correlation,baseline_correlation_mean_repeat,baseline_repeat_sd,baseline_repeat_se,delta_correlation,delta_correlation_mean_repeat,delta_correlation_repeat_sd,delta_correlation_repeat_se
Claude Sonnet 4.6,10.1007_s00182-015-0520-8,5,5,0.674209475517273,0.6657124638557435,0.02378183555360929,0.010635560185518344,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03488612174987793,0.03856405935415734,0.08056102182091202,0.036027984225680626
Claude Sonnet 4.6,10.1007_s001820050100,5,5,0.6685872077941895,0.6566217064857482,0.03831104352610831,0.017133219522666283,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.029263854026794434,0.029473301984162224,0.07544678040744902,0.03374082593491106
Claude Sonnet 4.6,10.1007_s001820050124,5,5,0.6635510921478271,0.6539494514465332,0.024731674399644635,0.01106034103099934,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.02422773838043213,0.026801046944947136,0.06896751755412035,0.030843211498084628
Claude Sonnet 4.6,10.1007_s00191-004-0212-1,5,5,0.664838433265686,0.6524911403656006,0.026890380641812355,0.01202574381118737,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.025515079498291016,0.02534273586401452,0.08538052701230985,0.03818333247085637
Claude Sonnet 4.6,10.1007_s00191-009-0162-8,5,5,0.6561515927314758,0.6452606439590454,0.011945749203045641,0.005342301452034798,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.01682823896408081,0.018112239457459343,0.0661024046772468,0.02956189406690478
Claude Sonnet 4.6,10.1007_s00191-010-0204-2,5,5,0.6590806841850281,0.6521626591682435,0.01780210161131798,0.007961341869053108,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.019757330417633057,0.025014254666657344,0.07438584958208497,0.03326636324592326
Claude Sonnet 4.6,10.1007_s00191-013-0306-8,5,5,0.6628497838973999,0.6565133810043335,0.026482475268220035,0.011843322982439394,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.023526430130004883,0.02936497650274743,0.0814710552734993,0.03643496355803743
Claude Sonnet 4.6,10.1007_s00191-013-0328-2,5,5,0.6423625349998474,0.6331419944763184,0.03170459103212754,0.01417872414933348,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.0030391812324523926,0.005993589974732294,0.05317168754612313,0.023779101566302058
Claude Sonnet 4.6,10.1007_s00191-014-0375-3,5,5,0.6300310492515564,0.6122344493865967,0.04933420529728938,0.022062927332133855,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.009292304515838623,-0.014913955114989386,0.1035894803890929,0.046326623980778615
Claude Sonnet 4.6,10.1007_s00191-014-0387-z,5,5,0.6441476345062256,0.6347957730293274,0.012671676756629504,0.005666946123345526,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.004824280738830566,0.007647368527741327,0.07011382808195361,0.0313558571507964
Claude Sonnet 4.6,10.1007_s00191-020-00720-5,5,5,0.6778311729431152,0.6679860711097717,0.03948070764685381,0.017656309219632176,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.038507819175720215,0.04083766660818566,0.07777885696049677,0.034783762275180694
Claude Sonnet 4.6,10.1007_s00191-021-00739-2,5,5,0.6471171379089355,0.6392290830612183,0.03874338885384423,0.01732657023118067,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.007793784141540527,0.012080678559632196,0.07371856559956898,0.03296794477688275
Claude Sonnet 4.6,10.1007_s00199-005-0633-6,5,5,0.6928164958953857,0.6866723418235778,0.02387250548791635,0.010676109012843547,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.05349314212799072,0.059523937321991814,0.06906684140551822,0.03088763047478717
Claude Sonnet 4.6,10.1007_s00199-007-0212-0,5,5,0.5157391428947449,0.5114280998706817,0.04943092787818639,0.02210618298530284,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.12358421087265015,-0.1157203046309043,0.08981880550935419,0.040168190955349715
Claude Sonnet 4.6,10.1007_s00199-008-0421-1,5,5,0.6716195344924927,0.6626212358474731,0.027314950830887436,0.012215617371985734,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.032296180725097656,0.03547283134588708,0.06441913126483893,0.02880911131193237
Claude Sonnet 4.6,10.1007_s00199-015-0909-4,5,5,0.6696109175682068,0.6624199986457825,0.03603524150887244,0.016115449919892173,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.030287563800811768,0.03527159414419641,0.0658745699778759,0.029460003291819463
Claude Sonnet 4.6,10.1007_s00199-018-1146-4,5,5,0.6508100628852844,0.6337211012840271,0.04591073749685987,0.020531905988025442,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.011486709117889404,0.006572696782441034,0.0690280557077317,0.030870284983426085
Claude Sonnet 4.6,10.1007_s00265-004-0782-9,5,5,0.6812307834625244,0.6681680560112,0.021095534474544916,0.009434209821354548,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.041907429695129395,0.04101965150961388,0.05227398209179356,0.02337763548237141
Claude Sonnet 4.6,10.1007_s00265-004-0885-3,5,5,0.6150863766670227,0.6017463088035584,0.03573997159961583,0.015983401202130577,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.024236977100372314,-0.025402095698027715,0.07642372666143157,0.03417772958176481
Claude Sonnet 4.6,10.1007_s00265-014-1741-8,5,5,0.6583258509635925,0.6503233194351197,0.018752375474539982,0.008386317260134255,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.01900249719619751,0.023174914933533564,0.08091790294492339,0.03618758631631582
Claude Sonnet 4.6,10.1007_s00265-017-2330-4,5,5,0.7005777955055237,0.68715980052948,0.06406046132390572,0.028648709238049873,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.06125444173812866,0.06001139602789392,0.045861512438298654,0.020509891872597583
Claude Sonnet 4.6,10.1007_s00265-019-2667-y,5,5,0.6353764533996582,0.6261395573616028,0.03791241268213657,0.016954946389656497,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.003946900367736816,-0.0010088471399832821,0.06133798527157028,0.027431180934022407
Claude Sonnet 4.6,10.1007_s00265-023-03380-0,5,5,0.6531442999839783,0.6480890154838562,0.0266156499742542,0.011902880521554584,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.013820946216583252,0.020940610982270135,0.09043773145917809,0.04044498305471869
Claude Sonnet 4.6,10.1007_s00267-023-01825-w,5,5,0.614142119884491,0.6003507256507874,0.07167834542539024,0.03205553057717673,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.025181233882904053,-0.02679767885079871,0.09883984969598167,0.04420252456121539
Claude Sonnet 4.6,10.1007_s00285-010-0363-7,5,5,0.6735861897468567,0.6633190035820007,0.02362960227038891,0.010567479391574593,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03426283597946167,0.036170599080414666,0.06494290038420528,0.02904334798301604
Claude Sonnet 4.6,10.1007_s00355-010-0493-2,5,5,0.6973497271537781,0.6877451181411743,0.04512889765561046,0.020182256581515175,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.05802637338638306,0.060596713639588254,0.06340917652339885,0.028357445820720723
Claude Sonnet 4.6,10.1007_s00355-014-0841-8,5,5,0.6682360768318176,0.6629034876823425,0.05055697356145032,0.022609765924012513,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.028912723064422607,0.035755083180756465,0.06698013741874015,0.029954428082116052
Claude Sonnet 4.6,10.1007_s00355-015-0884-5,5,5,0.5511438846588135,0.5451272428035736,0.058155801639293264,0.026008065150290686,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.08817946910858154,-0.08202116169801246,0.10424908008213904,0.046621605931096446
Claude Sonnet 4.6,10.1007_s00355-018-1130-8,5,5,0.6744393110275269,0.6558051109313965,0.013758404153316348,0.006152945389746158,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.035115957260131836,0.02865670642981042,0.0638287491240527,0.028545084392032398
Claude Sonnet 4.6,10.1007_s00355-020-01284-w,5,5,0.6590655446052551,0.644681429862976,0.010965176001048833,0.004903775784718899,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.019742190837860107,0.01753302536139001,0.0758328956289981,0.03391350191141728
Claude Sonnet 4.6,10.1007_s00355-021-01363-6,5,5,0.6481130123138428,0.6390078902244568,0.024611835523973308,0.011006747456529693,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.008789658546447754,0.011859485722870721,0.0684292219254172,0.030602478374530378
Claude Sonnet 4.6,10.1007_s00355-025-01604-y,5,5,0.6808162927627563,0.672148323059082,0.01743017468279673,0.007795011090085863,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.04149293899536133,0.044999918557495966,0.07555640754795566,0.03378985268258141
Claude Sonnet 4.6,10.1007_s00406-013-0392-5,5,5,0.6493707299232483,0.6319443941116333,0.03076227706815673,0.013757308533416276,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.010047376155853271,0.0047959896100472355,0.08037635811504416,0.03594540010582112
Claude Sonnet 4.6,10.1007_s10058-012-0120-z,5,5,0.6008175611495972,0.5905203580856323,0.042167525219902406,0.01885789056692771,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.03850579261779785,-0.03662804641595374,0.06662443087399293,0.02979535127929678
Claude Sonnet 4.6,10.1007_s10144-013-0423-0,5,5,0.6618378162384033,0.653567659854889,0.01398050744808424,0.006252273002771694,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.0225144624710083,0.02641925535330285,0.06780951132061003,0.03032533536678511
Claude Sonnet 4.6,10.1007_s10458-010-9122-9,5,5,0.6336491107940674,0.6266137003898621,0.017982108818771457,0.008041843539514284,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.005674242973327637,-0.0005347041117240048,0.05878639136494567,0.026290073448785034
Claude Sonnet 4.6,10.1007_s10458-016-9338-4,5,5,0.6460837721824646,0.6384819746017456,0.025431107686390272,0.01137313710597721,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.00676041841506958,0.01133357010015954,0.07444822688432189,0.03329425922353422
Claude Sonnet 4.6,10.1007_s10458-025-09698-5,5,5,0.6629518866539001,0.6516334176063537,0.02516622556062557,0.011254678218130306,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.023628532886505127,0.024485013104767694,0.07581383618354172,0.0339049782682865
Claude Sonnet 4.6,10.1007_s10479-017-2412-8,5,5,0.667067289352417,0.6480333566665649,0.0503776339607324,0.022529562816359924,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.027743935585021973,0.020884952164978876,0.08314336796805635,0.03718284453097051
Claude Sonnet 4.6,10.1007_s10539-004-5155-2,5,5,0.6323373317718506,0.6249164342880249,0.025130988403372842,0.011238919682340115,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.006986021995544434,-0.002231970213561163,0.07790158368235313,0.03483864733372599
Claude Sonnet 4.6,10.1007_s10539-007-9065-y,5,5,0.6731817722320557,0.662844431400299,0.02153311683591796,0.009629902602511549,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.033858418464660645,0.035696026898713006,0.06473750209399612,0.02895149107514206
Claude Sonnet 4.6,10.1007_s10539-012-9327-1,5,5,0.6336787939071655,0.6276232004165649,0.03180039502680334,0.014221568998255702,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.005644559860229492,0.00047479591497887606,0.0410764480396316,0.018369946018170845
Claude Sonnet 4.6,10.1007_s10539-012-9341-3,5,5,0.6777076125144958,0.6700486779212952,0.01197191029749144,0.005354001049144117,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03838425874710083,0.0429002734197091,0.07705469326039173,0.03445990642312616
Claude Sonnet 4.6,10.1007_s10539-013-9401-3,5,5,0.6868860721588135,0.6738527417182922,0.047667296537621334,0.02131746307235233,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.04756271839141846,0.04670433721670617,0.06942413831089271,0.031047418508500704
Claude Sonnet 4.6,10.1007_s10539-023-09936-8,5,5,0.6643313765525818,0.6509805202484131,0.028588244834900085,0.012785051761648769,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.025008022785186768,0.02383211574682702,0.047389340474527614,0.021193157341985177
Claude Sonnet 4.6,10.1007_s10551-011-0795-z,5,5,0.6709221601486206,0.6488824725151062,0.05600185311331644,0.025044790085466756,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.031598806381225586,0.021734068013520135,0.11037796790384166,0.04936252789025598
