model,variant_id,n_aug_runs,n_baseline_runs,correlation,correlation_mean_repeat,correlation_repeat_sd,correlation_repeat_se,baseline_correlation,baseline_correlation_mean_repeat,baseline_repeat_sd,baseline_repeat_se,delta_correlation,delta_correlation_mean_repeat,delta_correlation_repeat_sd,delta_correlation_repeat_se
Claude Sonnet 4.6,citation_q1_lowest__jcr_q1__discipline_math_phys_cs,5,5,0.6780411005020142,0.6712310075759887,0.01287381604229156,0.005757345560078247,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03871774673461914,0.044082603074402704,0.06516568097363036,0.029142978491420432
Claude Sonnet 4.6,citation_q1_lowest__jcr_q1__discipline_multidisciplinary,5,5,0.6673488616943359,0.6616516828536987,0.029850703392156612,0.013349640392209148,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.028025507926940918,0.034503278352112664,0.07101461028321973,0.03175869919778698
Claude Sonnet 4.6,citation_q1_lowest__jcr_q1__discipline_other,5,5,0.6469164490699768,0.636816430091858,0.021628536104704978,0.009672575396785767,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.007593095302581787,0.009668025590271846,0.07680636717835208,0.03434885162312079
Claude Sonnet 4.6,citation_q1_lowest__jcr_q1__discipline_psych_social,5,5,0.704102098941803,0.689868426322937,0.04547374171905153,0.020336475535013474,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.06477874517440796,0.06272002182135095,0.08515252978373627,0.03808136901050195
Claude Sonnet 4.6,citation_q1_lowest__jcr_q1__year_q1_oldest,5,5,0.6636688709259033,0.6581497311592102,0.026747780546927138,0.011961971110035116,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.0243455171585083,0.03100132665762414,0.06408453418051856,0.028659474946809652
Claude Sonnet 4.6,citation_q1_lowest__jcr_q1__year_q2,5,5,0.7449511885643005,0.7363154888153076,0.02784034457981477,0.012450580599496728,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.10562783479690552,0.10916708431372155,0.09298287732588062,0.041583206888838584
Claude Sonnet 4.6,citation_q1_lowest__jcr_q1__year_q3,5,5,0.6620268821716309,0.6518258094787598,0.020222175296118274,0.00904363172300748,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.02270352840423584,0.0246774049771737,0.08088964222744885,0.036174947739242624
Claude Sonnet 4.6,citation_q1_lowest__jcr_q1__year_q4_newest,5,5,0.6482713222503662,0.6376141905784607,0.031246655472214037,0.013973929141077274,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.008947968482971191,0.010465786076874628,0.06050200826196705,0.027057320649802444
Claude Sonnet 4.6,citation_q1_lowest__jcr_q2,5,5,0.7037395238876343,0.6933806896209717,0.028470373920831755,0.012732338286363403,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.06441617012023926,0.06623228511938561,0.06444595218414471,0.028821105991689723
Claude Sonnet 4.6,citation_q1_lowest__jcr_q2__discipline_bio_evo,5,5,0.6600238084793091,0.649023425579071,0.019147306646441372,0.008562935849495287,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.020700454711914062,0.021875021077484978,0.07803684792295533,0.034899139341108276
Claude Sonnet 4.6,citation_q1_lowest__jcr_q2__discipline_economics,5,5,0.6667010188102722,0.6588082909584045,0.0191182438591987,0.008549938575917241,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.027377665042877197,0.03165988645681848,0.05544892032456797,0.024797511024940735
Claude Sonnet 4.6,citation_q1_lowest__jcr_q2__discipline_math_phys_cs,5,5,0.6319807171821594,0.6265841484069824,0.020836060751512286,0.009318169644739365,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.007342636585235596,-0.0005642560946036435,0.048508556523568364,0.02169368597541795
Claude Sonnet 4.6,citation_q1_lowest__jcr_q2__discipline_multidisciplinary,5,5,0.6314652562141418,0.6243770360946655,0.04598885883878273,0.020566842914232046,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.007858097553253174,-0.002771368406920538,0.09024239459844328,0.0403576257548958
Claude Sonnet 4.6,citation_q1_lowest__jcr_q2__discipline_other,5,5,0.646522045135498,0.6408887505531311,0.030857790738496153,0.013800023545348166,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.007198691368103027,0.013740346051545038,0.04665709482150685,0.020865687130708545
Claude Sonnet 4.6,citation_q1_lowest__jcr_q2__discipline_psych_social,5,5,0.6563912630081177,0.6523439049720764,0.037890891258076216,0.01694532171622219,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.017067909240722656,0.02519550047049035,0.04033966029782237,0.018040444523036044
Claude Sonnet 4.6,citation_q1_lowest__jcr_q2__year_q1_oldest,5,5,0.6499040722846985,0.6431774497032166,0.02870819681465706,0.012838695917803223,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.010580718517303467,0.01602904520163049,0.07916644170379236,0.0354043090372908
Claude Sonnet 4.6,citation_q1_lowest__jcr_q2__year_q2,5,5,0.6782675385475159,0.6671577334403992,0.029506753983105854,0.013195821540317473,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03894418478012085,0.04000932893881311,0.08432574382280866,0.03771161908820663
Claude Sonnet 4.6,citation_q1_lowest__jcr_q2__year_q3,5,5,0.6163459420204163,0.6106482744216919,0.016879109763443638,0.007548567366148074,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.02297741174697876,-0.01650013007989417,0.0630896794428135,0.02821456238256041
Claude Sonnet 4.6,citation_q1_lowest__jcr_q2__year_q4_newest,5,5,0.6789491176605225,0.6717885255813598,0.0384154387951439,0.017179906506284873,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03962576389312744,0.0446401210797738,0.056395240697637045,0.025220718361475818
Claude Sonnet 4.6,citation_q1_lowest__jcr_q3,5,5,0.669582724571228,0.658229386806488,0.01238542928038415,0.005538932360291052,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.030259370803833008,0.031080982304901972,0.07027048324340524,0.0314259154688028
Claude Sonnet 4.6,citation_q1_lowest__jcr_q3__discipline_bio_evo,5,5,0.6380752325057983,0.6316969394683838,0.022019896476716996,0.009847597075889463,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.0012481212615966797,0.004548534966797723,0.08612867040930412,0.038517912369375726
Claude Sonnet 4.6,citation_q1_lowest__jcr_q3__discipline_economics,5,5,0.702082633972168,0.6967147469520569,0.04936540768495686,0.022076881464110812,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.06275928020477295,0.06956634245047082,0.0683732919193127,0.03057746571540405
Claude Sonnet 4.6,citation_q1_lowest__jcr_q3__discipline_math_phys_cs,5,5,0.656830370426178,0.6504740357398987,0.04317386280151585,0.019307938415087787,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.01750701665878296,0.023325631238312616,0.0316569825355832,0.014157432982417539
Claude Sonnet 4.6,citation_q1_lowest__jcr_q3__discipline_other,5,5,0.6168790459632874,0.610922920703888,0.01722918622126808,0.007705126317551632,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.022444307804107666,-0.016225483797698125,0.0674302997105146,0.030155746779179007
Claude Sonnet 4.6,citation_q1_lowest__jcr_q3__discipline_psych_social,5,5,0.6587318181991577,0.6536245703697204,0.030887837732529774,0.013813460969583908,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.019408464431762695,0.026476165868134394,0.08464364407251028,0.037853788401886024
Claude Sonnet 4.6,citation_q1_lowest__jcr_q3__year_q1_oldest,5,5,0.630558967590332,0.6202336072921752,0.03806246983617761,0.01702205398904568,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.008764386177062988,-0.006914797209410772,0.0701172027460291,0.0313573663464512
Claude Sonnet 4.6,citation_q1_lowest__jcr_q3__year_q2,5,5,0.621251106262207,0.6157891988754273,0.02393220203046728,0.010702806118276667,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.01807224750518799,-0.01135920562615882,0.06299063427480897,0.028170268036860204
Claude Sonnet 4.6,citation_q1_lowest__jcr_q3__year_q3,5,5,0.6806166172027588,0.6768017411231995,0.03003217853091748,0.01343079854150825,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.04129326343536377,0.0496533366216134,0.051472251327603254,0.023019090584694934
Claude Sonnet 4.6,citation_q1_lowest__jcr_q3__year_q4_newest,5,5,0.6652602553367615,0.6593412399291992,0.03912870769287991,0.01749889005459969,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.025936901569366455,0.032192835427613156,0.08375981700636617,0.037458528921835536
Claude Sonnet 4.6,citation_q1_lowest__jcr_q4,5,5,0.6372278928756714,0.6261658072471619,0.04132585622040743,0.018481484747442708,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.002095460891723633,-0.0009825972544242,0.098605229081943,0.044097599032832745
Claude Sonnet 4.6,citation_q1_lowest__jcr_q4__discipline_bio_evo,5,5,0.7157093286514282,0.7048798084259034,0.04423156001414588,0.01978095498849835,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.0763859748840332,0.07773140392431725,0.0819841372349388,0.03666442078679896
Claude Sonnet 4.6,citation_q1_lowest__jcr_q4__discipline_economics,5,5,0.6676373481750488,0.6564059734344483,0.045214132936590094,0.020220374957985527,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.02831399440765381,0.029257568932862178,0.11057129389692007,0.049448985902724174
Claude Sonnet 4.6,citation_q1_lowest__jcr_q4__discipline_math_phys_cs,5,5,0.6676613688468933,0.6572289228439331,0.024665034225563973,0.011030538639143984,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.02833801507949829,0.03008051834234704,0.07316980603807424,0.03272253204032171
Claude Sonnet 4.6,citation_q1_lowest__jcr_q4__discipline_other,5,5,0.6192325949668884,0.6152280449867249,0.019710063824888165,0.00881460851066189,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.020090758800506592,-0.011920359514861211,0.0811502150017035,0.03629147942650644
Claude Sonnet 4.6,citation_q1_lowest__jcr_q4__discipline_psych_social,5,5,0.6434394717216492,0.6346927285194397,0.012122173582437144,0.005421200833076321,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.00411611795425415,0.007544324017853632,0.07504954478199187,0.03356317676258969
Claude Sonnet 4.6,citation_q1_lowest__jcr_q4__year_q1_oldest,5,5,0.7047691941261292,0.695981478691101,0.0053964252073268925,0.0024133547198152655,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.06544584035873413,0.06883307418951501,0.06734114241437941,0.030115874424209335
Claude Sonnet 4.6,citation_q1_lowest__jcr_q4__year_q2,5,5,0.667585551738739,0.6565163969993592,0.030522045679875175,0.013649873790510934,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.028262197971343994,0.029367992497773065,0.057829852856607605,0.025862296423237
Claude Sonnet 4.6,citation_q1_lowest__jcr_q4__year_q3,5,5,0.6627805233001709,0.657024347782135,0.008149971283067546,0.0036447779607220424,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.02345716953277588,0.029875943280548944,0.06493887439037857,0.029041547503841338
Claude Sonnet 4.6,citation_q1_lowest__jcr_q4__year_q4_newest,5,5,0.6815665364265442,0.6729809641838074,0.031077439885453462,0.013898253630107443,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.04224318265914917,0.04583255968222131,0.07501972200447372,0.033549839611028004
Claude Sonnet 4.6,citation_q1_lowest__year_q1_oldest,5,5,0.6631538271903992,0.6513879179954529,0.02463933682161736,0.011019046410730005,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.02383047342300415,0.024239513493866816,0.05099144051234159,0.0228040654512465
Claude Sonnet 4.6,citation_q1_lowest__year_q1_oldest__discipline_bio_evo,5,5,0.6691883206367493,0.6636733293533326,0.016760571349781168,0.0074955553759692185,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.029864966869354248,0.03652492485174645,0.06953147657925238,0.03109542164142857
Claude Sonnet 4.6,citation_q1_lowest__year_q1_oldest__discipline_economics,5,5,0.6634902358055115,0.6554064154624939,0.037288387675740164,0.016675873922864078,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.024166882038116455,0.028258010960907833,0.09749425803363816,0.04360075767582398
Claude Sonnet 4.6,citation_q1_lowest__year_q1_oldest__discipline_math_phys_cs,5,5,0.6913130283355713,0.6838926672935486,0.01972607905002942,0.008821770737080051,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.05198967456817627,0.05674426279196252,0.05347220623441216,0.023913497609406725
Claude Sonnet 4.6,citation_q1_lowest__year_q1_oldest__discipline_multidisciplinary,5,5,0.6377356648445129,0.621402108669281,0.021372561319777165,0.009558099992860872,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.00158768892288208,-0.005746295832305059,0.07641076065647265,0.034171931008067855
Claude Sonnet 4.6,citation_q1_lowest__year_q1_oldest__discipline_psych_social,5,5,0.6578449606895447,0.6470783948898315,0.051866026077657244,0.023195192006483675,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.018521606922149658,0.01992999038824548,0.09314241468778771,0.04165455416607363
Claude Sonnet 4.6,citation_q1_lowest__year_q2,5,5,0.6624516844749451,0.6535714626312256,0.023499757527237864,0.010509411057133246,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.02312833070755005,0.02642305812963952,0.055589631663357945,0.024860439048688614
Claude Sonnet 4.6,citation_q1_lowest__year_q2__discipline_bio_evo,5,5,0.6750936508178711,0.6713884115219116,0.020381351666234473,0.009114817559805777,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.035770297050476074,0.04424000702032556,0.07900293872448486,0.03533118828203973
Claude Sonnet 4.6,citation_q1_lowest__year_q2__discipline_economics,5,5,0.6794566512107849,0.6712442398071289,0.029984341105953355,0.013409404994690585,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.04013329744338989,0.04409583530554284,0.06765109300059506,0.030254488540298153
Claude Sonnet 4.6,citation_q1_lowest__year_q2__discipline_math_phys_cs,5,5,0.6244826912879944,0.6179352760314941,0.04024158880892609,0.017996585619870706,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.014840662479400635,-0.009213128470091925,0.06880960028617365,0.03077258874889465
Claude Sonnet 4.6,citation_q1_lowest__year_q2__discipline_multidisciplinary,5,5,0.6800543069839478,0.6706721305847168,0.019729478392804062,0.008823290969384636,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.040730953216552734,0.04352372608313073,0.06446380821981243,0.02882909145360206
Claude Sonnet 4.6,citation_q1_lowest__year_q2__discipline_other,5,5,0.6109277606010437,0.6042203903198242,0.01789814697020411,0.008004294659331659,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.02839559316635132,-0.022928014181761845,0.062343869726667715,0.02788102613784405
Claude Sonnet 4.6,citation_q1_lowest__year_q2__discipline_psych_social,5,5,0.7101141810417175,0.7029570579528809,0.03152312730384014,0.014097571102953243,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.07079082727432251,0.0758086534512948,0.07949222993927678,0.03555000596545337
Claude Sonnet 4.6,citation_q1_lowest__year_q3,5,5,0.6821603178977966,0.6753837704658509,0.030576598902243898,0.01367427073323256,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.04283696413040161,0.04823536596426477,0.049140629793590344,0.021976357735123894
Claude Sonnet 4.6,citation_q1_lowest__year_q3__discipline_bio_evo,5,5,0.6728762984275818,0.6615155220031739,0.018014841318488878,0.008056481958402613,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03355294466018677,0.03436711750158776,0.06540521466074056,0.029250101212876346
Claude Sonnet 4.6,citation_q1_lowest__year_q3__discipline_economics,5,5,0.6164374947547913,0.6092527985572815,0.04989490637427927,0.0223136804767752,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.02288585901260376,-0.01789560594430457,0.03189689922696328,0.014264726988590076
Claude Sonnet 4.6,citation_q1_lowest__year_q3__discipline_math_phys_cs,5,5,0.6873336434364319,0.6814632058143616,0.025685862906036014,0.011487067103727364,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.048010289669036865,0.05431480131277551,0.08276144779300461,0.037012044636291645
Claude Sonnet 4.6,citation_q1_lowest__year_q3__discipline_multidisciplinary,5,5,0.6751095056533813,0.6662893176078797,0.005054964326882169,0.0022606487717489994,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03578615188598633,0.03914091310629357,0.06294884194226019,0.028151577937556734
Claude Sonnet 4.6,citation_q1_lowest__year_q3__discipline_other,5,5,0.6724759340286255,0.6659793496131897,0.04209848771488444,0.018827016056084278,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03315258026123047,0.038830945111603635,0.0914252582994414,0.04088661848360556
Claude Sonnet 4.6,citation_q1_lowest__year_q3__discipline_psych_social,5,5,0.64280766248703,0.6350860238075257,0.019486341199669303,0.008714556711043072,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.0034843087196350098,0.007937619305939569,0.07242245098709947,0.03238830470086023
Claude Sonnet 4.6,citation_q1_lowest__year_q4_newest,5,5,0.6627923250198364,0.6545906901359558,0.01644275093796761,0.0073534217668788,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.023468971252441406,0.027442285634369745,0.07218156213643005,0.03228057593183651
Claude Sonnet 4.6,citation_q1_lowest__year_q4_newest__discipline_bio_evo,5,5,0.7003368735313416,0.6870905160903931,0.02877137463982224,0.01286694990015121,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.06101351976394653,0.059942111588807,0.07915157856226117,0.03539766203832621
Claude Sonnet 4.6,citation_q1_lowest__year_q4_newest__discipline_economics,5,5,0.6195850372314453,0.612641167640686,0.038382421780065165,0.017165140848258837,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.019738316535949707,-0.01450723686090003,0.08112158290876909,0.03627867476527856
Claude Sonnet 4.6,citation_q1_lowest__year_q4_newest__discipline_math_phys_cs,5,5,0.6422291398048401,0.6316357612609863,0.03734465848280717,0.0167010389928142,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.0029057860374450684,0.004487356759400263,0.07008892523314994,0.03134472025824471
Claude Sonnet 4.6,citation_q1_lowest__year_q4_newest__discipline_multidisciplinary,5,5,0.6786880493164062,0.6720651984214783,0.031644811717723785,0.014151990027202454,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.03936469554901123,0.04491679391989221,0.09175603142296992,0.0410345447214735
Claude Sonnet 4.6,citation_q1_lowest__year_q4_newest__discipline_other,5,5,0.6565142273902893,0.6506040453910827,0.0309261143011391,0.013830578771455085,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.017190873622894287,0.0234556408894967,0.08312696874907324,0.037175510577285686
Claude Sonnet 4.6,citation_q1_lowest__year_q4_newest__discipline_psych_social,5,5,0.6670664548873901,0.6549423694610595,0.036806128428061066,0.016460201030746403,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.027743101119995117,0.027793964959473505,0.09079880541978566,0.04060646023888341
Claude Sonnet 4.6,citation_q2,5,5,0.7086562514305115,0.6997430682182312,0.03232070202953545,0.014454257363711335,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.06933289766311646,0.07259466371664514,0.046902287632952525,0.02097534068950591
Claude Sonnet 4.6,citation_q2__discipline_bio_evo,5,5,0.7149020433425903,0.7030891895294189,0.04249080562586637,0.01900246595963354,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.07557868957519531,0.07594078502783289,0.03307108004592722,0.014789836614406027
Claude Sonnet 4.6,citation_q2__discipline_economics,5,5,0.7234854698181152,0.7156195640563965,0.046366753423739,0.0207358425102903,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.08416211605072021,0.08847115955481041,0.10697745299267103,0.04784177139028015
Claude Sonnet 4.6,citation_q2__discipline_math_phys_cs,5,5,0.6462007164955139,0.6306482553482056,0.05461652679299477,0.02442525332081498,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.0068773627281188965,0.003499850846619501,0.08206891702886453,0.03670233546326623
Claude Sonnet 4.6,citation_q2__discipline_multidisciplinary,5,5,0.6357868313789368,0.6211689233779907,0.0360603738709737,0.016126689453910884,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.003536522388458252,-0.005979481123595342,0.04755529213619712,0.021267373181279588
Claude Sonnet 4.6,citation_q2__discipline_other,5,5,0.6824705600738525,0.6769445657730102,0.02067463118997486,0.00924597615010423,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.04314720630645752,0.04979616127142419,0.06522610423814101,0.029170000596794088
Claude Sonnet 4.6,citation_q2__discipline_psych_social,5,5,0.6939626932144165,0.6849341869354248,0.01971947762800679,0.0088188184914019,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.054639339447021484,0.05778578243383874,0.05856313456191856,0.026190229971183452
Claude Sonnet 4.6,citation_q2__jcr_q1,5,5,0.7143856287002563,0.7083888173103332,0.031547093764287305,0.014108289229901228,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.07506227493286133,0.08124041280874719,0.09222911097520486,0.041246112328986
Claude Sonnet 4.6,citation_q2__jcr_q1__discipline_bio_evo,5,5,0.6491994857788086,0.6411401867866516,0.043543305583031405,0.019473158249740868,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.009876132011413574,0.013991782285065545,0.039136220504784706,0.017502249886223946
Claude Sonnet 4.6,citation_q2__jcr_q1__discipline_economics,5,5,0.7492294311523438,0.7352348804473877,0.008641867758809403,0.0038647607522523165,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.10990607738494873,0.10808647594580163,0.06587966945875685,0.029462283848999418
Claude Sonnet 4.6,citation_q2__jcr_q1__discipline_math_phys_cs,5,5,0.6453529596328735,0.6383820652961731,0.021870259719528055,0.009780677483688043,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.006029605865478516,0.011233660794587031,0.06610503749958281,0.029563071500847977
Claude Sonnet 4.6,citation_q2__jcr_q1__discipline_multidisciplinary,5,5,0.6313300728797913,0.6238809823989868,0.029037922117726777,0.012986153556116344,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.00799328088760376,-0.003267422102599249,0.08255443789015596,0.03691946699333461
Claude Sonnet 4.6,citation_q2__jcr_q1__discipline_other,5,5,0.6513802409172058,0.6449238657951355,0.016139093236521757,0.007217621914413948,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.012056887149810791,0.017775461293549434,0.05151375271904009,0.02303765057117765
Claude Sonnet 4.6,citation_q2__jcr_q1__discipline_psych_social,5,5,0.6351692080497742,0.6258018493652344,0.057945405351308106,0.025913973069861,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,-0.00415414571762085,-0.0013465551363516903,0.10067996504367016,0.04502544916198981
Claude Sonnet 4.6,citation_q2__jcr_q1__year_q1_oldest,5,5,0.698188304901123,0.6907110333442688,0.017369232444305056,0.007767756892492187,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.05886495113372803,0.06356262884268274,0.049959804131628566,0.022342703636179264
Claude Sonnet 4.6,citation_q2__jcr_q1__year_q2,5,5,0.714624285697937,0.7075509428977966,0.036311159697766535,0.016238844285211336,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.07530093193054199,0.08040253839621056,0.07619988681666245,0.03407762535996946
Claude Sonnet 4.6,citation_q2__jcr_q1__year_q3,5,5,0.6587557792663574,0.6449036717414856,0.04457099957906553,0.019932756976781006,0.639323353767395,0.627148404501586,0.06618990746644854,0.02960102650387996,0.019432425498962402,0.01775526723989953,0.0493941577905957,0.02208973890222456
