model,item_id,n_aug_runs,correlation,delta_correlation,baseline_correlation_mean30,above_baseline
Claude Sonnet 4.6,10.1007_978-0-387-72596-3_7,5,0.6039502620697021,-0.0353730916976928,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_978-0-387-72596-3_8,5,0.6869317293167114,0.0476083755493164,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_978-3-319-29354-7_9,5,0.6298379302024841,-0.0094854235649108,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_978-3-540-85436-4,5,0.6825997829437256,0.0432764291763305,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_978-3-540-85436-4_5,5,0.6712401509284973,0.0319167971611022,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_978-3-642-02624-9_8,5,0.6487749218940735,0.0094515681266784,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_978-3-642-13983-3_11,5,0.7114250063896179,0.0721016526222229,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_978-3-642-18137-5_14,5,0.6363815665245056,-0.0029417872428894,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_978-981-10-6439-5_8,5,0.6471652984619141,0.007841944694519,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_978-981-13-2769-8_2,5,0.6374198198318481,-0.0019035339355468,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_bf01074955,5,0.6762635707855225,0.0369402170181274,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00182-014-0419-9,5,0.6672139167785645,0.0278905630111694,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00182-015-0520-8,5,0.674209475517273,0.0348861217498779,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s001820050100,5,0.6685872077941895,0.0292638540267944,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s001820050124,5,0.6635510921478271,0.0242277383804321,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00191-004-0212-1,5,0.664838433265686,0.025515079498291,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00191-009-0162-8,5,0.6561515927314758,0.0168282389640808,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00191-010-0204-2,5,0.6590806841850281,0.019757330417633,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00191-013-0306-8,5,0.6628497838973999,0.0235264301300048,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00191-013-0328-2,5,0.6423625349998474,0.0030391812324523,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00191-014-0375-3,5,0.6300310492515564,-0.0092923045158386,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00191-014-0387-z,5,0.6441476345062256,0.0048242807388305,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00191-020-00720-5,5,0.6778311729431152,0.0385078191757202,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00191-021-00739-2,5,0.6471171379089355,0.0077937841415405,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00199-005-0633-6,5,0.6928164958953857,0.0534931421279907,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00199-007-0212-0,5,0.5157391428947449,-0.1235842108726501,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00199-008-0421-1,5,0.6716195344924927,0.0322961807250976,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00199-015-0909-4,5,0.6696109175682068,0.0302875638008117,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00199-018-1146-4,5,0.6508100628852844,0.0114867091178894,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00265-004-0782-9,5,0.6812307834625244,0.0419074296951293,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00265-004-0885-3,5,0.6150863766670227,-0.0242369771003723,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00265-014-1741-8,5,0.6583258509635925,0.0190024971961975,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00265-017-2330-4,5,0.7005777955055237,0.0612544417381286,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00265-019-2667-y,5,0.6353764533996582,-0.0039469003677368,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00265-023-03380-0,5,0.6531442999839783,0.0138209462165832,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00267-023-01825-w,5,0.614142119884491,-0.025181233882904,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00285-010-0363-7,5,0.6735861897468567,0.0342628359794616,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00355-010-0493-2,5,0.6973497271537781,0.058026373386383,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00355-014-0841-8,5,0.6682360768318176,0.0289127230644226,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00355-015-0884-5,5,0.5511438846588135,-0.0881794691085815,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00355-018-1130-8,5,0.6744393110275269,0.0351159572601318,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00355-020-01284-w,5,0.6590655446052551,0.0197421908378601,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00355-021-01363-6,5,0.6481130123138428,0.0087896585464477,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s00355-025-01604-y,5,0.6808162927627563,0.0414929389953613,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s00406-013-0392-5,5,0.6493707299232483,0.0100473761558532,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10058-012-0120-z,5,0.6008175611495972,-0.0385057926177978,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10144-013-0423-0,5,0.6618378162384033,0.0225144624710083,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10458-010-9122-9,5,0.6336491107940674,-0.0056742429733276,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10458-016-9338-4,5,0.6460837721824646,0.0067604184150695,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10458-025-09698-5,5,0.6629518866539001,0.0236285328865051,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10479-017-2412-8,5,0.667067289352417,0.0277439355850219,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10539-004-5155-2,5,0.6323373317718506,-0.0069860219955444,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10539-007-9065-y,5,0.6731817722320557,0.0338584184646606,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10539-012-9327-1,5,0.6336787939071655,-0.0056445598602294,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10539-012-9341-3,5,0.6777076125144958,0.0383842587471008,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10539-013-9401-3,5,0.6868860721588135,0.0475627183914184,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10539-023-09936-8,5,0.6643313765525818,0.0250080227851867,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10551-011-0795-z,5,0.6709221601486206,0.0315988063812255,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10551-020-04664-5,5,0.6691113114356995,0.0297879576683044,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10551-024-05865-y,5,0.6428213119506836,0.0034979581832885,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10551-025-05998-8,5,0.6501160264015198,0.0107926726341247,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10584-010-0014-4,5,0.6729390025138855,0.0336156487464904,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10584-016-1838-3,5,0.6654571890830994,0.0261338353157043,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10588-008-9053-z,5,0.6255323886871338,-0.0137909650802612,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10588-009-9056-4,5,0.6828075647354126,0.0434842109680175,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10588-013-9170-1,5,0.6930893659591675,0.0537660121917724,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10588-015-9205-x,5,0.6349647045135498,-0.0043586492538452,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10588-017-9244-6,5,0.6797999143600464,0.0404765605926513,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10611-018-9768-9,5,0.6319594383239746,-0.0073639154434204,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10614-008-9154-2,5,0.6686451435089111,0.0293217897415161,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10614-020-10003-7,5,0.616525411605835,-0.02279794216156,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10614-020-10017-1,5,0.6579280495643616,0.0186046957969665,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10640-006-9046-7,5,0.6521852612495422,0.0128619074821472,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10640-015-9879-z,5,0.6717000007629395,0.0323766469955444,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10640-017-0126-7,5,0.5961618423461914,-0.0431615114212036,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10640-020-00419-y,5,0.626328706741333,-0.012994647026062,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10640-020-00526-w,5,0.6480608582496643,0.0087375044822692,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10640-021-00591-9,5,0.6484550833702087,0.0091317296028137,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10640-023-00759-5,5,0.6558961272239685,0.0165727734565734,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10640-025-00970-6,5,0.6493934988975525,0.0100701451301574,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10645-008-9094-1,5,0.6483836770057678,0.0090603232383728,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10657-016-9532-5,5,0.6754136681556702,0.0360903143882751,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10657-019-09615-8,5,0.6420344114303589,0.0027110576629638,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10663-024-09623-1,5,0.6121626496315002,-0.0271607041358947,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10668-024-05335-5,5,0.7055115103721619,0.0661881566047668,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10683-005-0869-9,5,0.641339123249054,0.0020157694816589,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10683-006-9153-x,5,0.6721502542495728,0.0328269004821777,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10683-007-9171-3,5,0.5989766716957092,-0.0403466820716857,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10683-010-9257-1,5,0.6273985505104065,-0.0119248032569885,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10683-010-9266-0,5,0.6377159953117371,-0.0016073584556579,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10683-010-9267-z,5,0.6698017120361328,0.0304783582687377,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10683-011-9272-x,5,0.675358772277832,0.036035418510437,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10683-011-9281-9,5,0.6993576884269714,0.0600343346595764,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10683-011-9292-6,5,0.6573924422264099,0.0180690884590148,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10683-013-9354-z,5,0.6699255108833313,0.0306021571159362,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10683-013-9360-1,5,0.6127327680587769,-0.0265905857086181,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10683-013-9367-7,5,0.6886014342308044,0.0492780804634094,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10683-013-9389-1,5,0.6806264519691467,0.0413030982017517,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10683-014-9393-0,5,0.66079181432724,0.0214684605598449,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10683-014-9402-3,5,0.6747168302536011,0.035393476486206,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10683-014-9405-0,5,0.652694821357727,0.013371467590332,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10683-015-9452-1,5,0.6284703016281128,-0.0108530521392822,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10683-015-9466-8,5,0.6415308713912964,0.0022075176239013,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10683-017-9527-2,5,0.6224676966667175,-0.0168556571006774,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10683-017-9539-y,5,0.6930462718009949,0.0537229180335998,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10683-018-9592-1,5,0.6320516467094421,-0.0072717070579528,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10683-019-09609-y,5,0.6754141449928284,0.0360907912254333,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10683-019-09629-8,5,0.6613783836364746,0.0220550298690795,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10683-020-09652-0,5,0.6699028015136719,0.0305794477462768,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10683-021-09737-4,5,0.6723039746284485,0.0329806208610534,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10683-022-09758-7,5,0.6656776070594788,0.0263542532920837,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10816-013-9186-3,5,0.6466167569160461,0.0072934031486511,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10816-013-9194-3,5,0.6691175699234009,0.0297942161560058,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s10955-012-0661-0,5,0.6495261192321777,0.0102027654647827,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10955-012-0679-3,5,0.6566122770309448,0.0172889232635498,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s10955-018-2012-2,5,0.647757351398468,0.0084339976310729,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11031-014-9395-4,5,0.6545829772949219,0.0152596235275268,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11047-016-9546-5,5,0.6313095688819885,-0.0080137848854064,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11071-019-05010-9,5,0.6755766272544861,0.036253273487091,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11071-020-05965-0,5,0.6749020218849182,0.0355786681175231,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11071-023-08297-x,5,0.6323732733726501,-0.0069500803947448,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11127-006-9075-3,5,0.6353276371955872,-0.0039957165718078,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11127-007-9269-3,5,0.6735304594039917,0.0342071056365966,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11127-010-9665-y,5,0.6574581265449524,0.0181347727775573,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11127-016-0319-6,5,0.6382046341896057,-0.0011187195777893,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11127-018-0622-5,5,0.6556784510612488,0.0163550972938537,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11127-020-00868-5,5,0.6858789324760437,0.0465555787086486,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11127-021-00925-7,5,0.635516345500946,-0.0038070082664489,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11211-008-0064-1,5,0.6782904267311096,0.0389670729637146,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11211-017-0300-7,5,0.6259866952896118,-0.0133366584777832,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11229-022-03743-6,5,0.6470388770103455,0.0077155232429504,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11238-004-3672-8,5,0.6686617732048035,0.0293384194374084,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11238-013-9356-5,5,0.6962580680847168,0.0569347143173217,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11238-013-9382-3,5,0.6688195466995239,0.0294961929321289,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11238-015-9527-7,5,0.6568856835365295,0.0175623297691345,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11238-016-9572-x,5,0.6481438875198364,0.0088205337524414,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11238-021-09864-7,5,0.6684936285018921,0.029170274734497,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11238-022-09897-6,5,0.6483651995658875,0.0090418457984924,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11238-023-09929-9,5,0.6432797908782959,0.0039564371109008,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11238-023-09931-1,5,0.5769513249397278,-0.0623720288276672,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11238-024-09977-9,5,0.6700862646102905,0.0307629108428955,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11245-014-9294-z,5,0.6542906761169434,0.0149673223495483,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11269-017-1661-2,5,0.6497593522071838,0.0104359984397888,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11284-006-0070-4,5,0.6866303086280823,0.0473069548606872,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11284-006-0163-0,5,0.6257591247558594,-0.0135642290115356,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11284-013-1066-5,5,0.6414739489555359,0.0021505951881408,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11403-007-0027-x,5,0.628677487373352,-0.0106458663940429,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11403-015-0146-8,5,0.6767933964729309,0.0374700427055358,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11403-017-0195-2,5,0.6832709312438965,0.0439475774765014,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11403-022-00363-8,5,0.6812633275985718,0.0419399738311767,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11427-010-0007-6,5,0.6734198331832886,0.0340964794158935,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11427-010-4016-2,5,0.6719238758087158,0.0326005220413208,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11432-010-4145-z,5,0.6647179126739502,0.0253945589065551,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s11432-023-4170-3,5,0.6297979950904846,-0.0095253586769104,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11538-024-01344-7,5,0.6634188890457153,0.0240955352783203,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11538-025-01422-4,5,0.6559370756149292,0.0166137218475341,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11558-025-09594-3,5,0.6379537582397461,-0.0013695955276489,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s11846-016-0209-9,5,0.6722211241722107,0.0328977704048156,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s12064-024-00432-5,5,0.6885561943054199,0.0492328405380249,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s12110-002-1012-7,5,0.5823804140090942,-0.0569429397583007,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s12110-002-1016-3,5,0.6488783955574036,0.0095550417900085,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s12110-005-1000-9,5,0.7167435884475708,0.0774202346801757,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s12110-009-9072-6,5,0.6788169741630554,0.0394936203956604,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s12110-012-9136-x,5,0.6567486524581909,0.0174252986907959,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s12110-017-9298-7,5,0.6709811091423035,0.0316577553749084,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s12110-024-09483-5,5,0.6304173469543457,-0.0089060068130493,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s12144-019-0129-3,5,0.6644757986068726,0.0251524448394775,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s12144-023-04746-3,5,0.6670278906822205,0.0277045369148254,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s12144-023-05029-7,5,0.6654167175292969,0.0260933637619018,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s12144-024-06961-y,5,0.6817196011543274,0.0423962473869323,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s13235-010-0001-4,5,0.6962658762931824,0.0569425225257873,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s13235-011-0020-9,5,0.6387559175491333,-0.0005674362182617,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s13235-013-0094-7,5,0.6691545844078064,0.0298312306404113,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s13235-017-0230-x,5,0.6383424997329712,-0.0009808540344238,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s13235-019-00339-7,5,0.6690697073936462,0.0297463536262512,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s13235-022-00485-5,5,0.6141413450241089,-0.0251820087432861,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s13235-023-00533-8,5,0.657770574092865,0.0184472203254699,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s13235-025-00619-5,5,0.6400575041770935,0.0007341504096984,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s13280-019-01284-w,5,0.6648532748222351,0.02552992105484,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s40305-021-00350-z,5,0.6539140939712524,0.0145907402038574,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s40503-016-0035-0,5,0.6814712882041931,0.042147934436798,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s40750-020-00143-3,5,0.6659825444221497,0.0266591906547546,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s40822-020-00144-3,5,0.6584844589233398,0.0191611051559448,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s40881-021-00101-z,5,0.6229482889175415,-0.0163750648498535,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s40881-023-00137-3,5,0.6872466802597046,0.0479233264923095,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s40881-023-00153-3,5,0.7235457897186279,0.0842224359512329,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s40881-023-00157-z,5,0.6656990051269531,0.0263756513595581,0.6644858192216249,True
Claude Sonnet 4.6,10.1007_s40881-023-00159-x,5,0.6318284869194031,-0.0074948668479919,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s40888-022-00287-3,5,0.64729905128479,0.007975697517395,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s41412-019-00093-6,5,0.6571809649467468,0.0178576111793518,0.6644858192216249,False
Claude Sonnet 4.6,10.1007_s42001-019-00049-5,5,0.6336728930473328,-0.0056504607200622,0.6644858192216249,False
Claude Sonnet 4.6,10.1016_0162-3095(92)90032-y,5,0.69591224193573,0.0565888881683349,0.6644858192216249,True
