n_filters,count,type_value,citation_value,jcr_value,year_value,discipline_value,collection_id,filter_label,filters_json,set_path
2,229,,Q2,Q2,,,citation_q2__jcr_q2,citation=Q2 | jcr=Q2,"{""citation"": ""Q2"", ""jcr"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__jcr_q2.csv
2,107,,Q2,Q3,,,citation_q2__jcr_q3,citation=Q2 | jcr=Q3,"{""citation"": ""Q2"", ""jcr"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__jcr_q3.csv
2,20,,Q2,Q4,,,citation_q2__jcr_q4,citation=Q2 | jcr=Q4,"{""citation"": ""Q2"", ""jcr"": ""Q4""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__jcr_q4.csv
2,100,,Q2,,Q1_oldest,,citation_q2__year_q1_oldest,citation=Q2 | year=Q1_oldest,"{""citation"": ""Q2"", ""year"": ""Q1_oldest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__year_q1_oldest.csv
2,190,,Q2,,Q2,,citation_q2__year_q2,citation=Q2 | year=Q2,"{""citation"": ""Q2"", ""year"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__year_q2.csv
2,219,,Q2,,Q3,,citation_q2__year_q3,citation=Q2 | year=Q3,"{""citation"": ""Q2"", ""year"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__year_q3.csv
2,172,,Q2,,Q4_newest,,citation_q2__year_q4_newest,citation=Q2 | year=Q4_newest,"{""citation"": ""Q2"", ""year"": ""Q4_newest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q2__year_q4_newest.csv
2,123,,Q3,,,bio_evo,citation_q3__discipline_bio_evo,citation=Q3 | discipline=bio_evo,"{""citation"": ""Q3"", ""discipline"": ""bio_evo""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__discipline_bio_evo.csv
2,159,,Q3,,,economics,citation_q3__discipline_economics,citation=Q3 | discipline=economics,"{""citation"": ""Q3"", ""discipline"": ""economics""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__discipline_economics.csv
2,208,,Q3,,,math_phys_cs,citation_q3__discipline_math_phys_cs,citation=Q3 | discipline=math_phys_cs,"{""citation"": ""Q3"", ""discipline"": ""math_phys_cs""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__discipline_math_phys_cs.csv
2,121,,Q3,,,multidisciplinary,citation_q3__discipline_multidisciplinary,citation=Q3 | discipline=multidisciplinary,"{""citation"": ""Q3"", ""discipline"": ""multidisciplinary""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__discipline_multidisciplinary.csv
2,24,,Q3,,,other,citation_q3__discipline_other,citation=Q3 | discipline=other,"{""citation"": ""Q3"", ""discipline"": ""other""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__discipline_other.csv
2,189,,Q3,,,psych_social,citation_q3__discipline_psych_social,citation=Q3 | discipline=psych_social,"{""citation"": ""Q3"", ""discipline"": ""psych_social""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__discipline_psych_social.csv
2,382,,Q3,Q1,,,citation_q3__jcr_q1,citation=Q3 | jcr=Q1,"{""citation"": ""Q3"", ""jcr"": ""Q1""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__jcr_q1.csv
2,189,,Q3,Q2,,,citation_q3__jcr_q2,citation=Q3 | jcr=Q2,"{""citation"": ""Q3"", ""jcr"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__jcr_q2.csv
2,93,,Q3,Q3,,,citation_q3__jcr_q3,citation=Q3 | jcr=Q3,"{""citation"": ""Q3"", ""jcr"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__jcr_q3.csv
2,13,,Q3,Q4,,,citation_q3__jcr_q4,citation=Q3 | jcr=Q4,"{""citation"": ""Q3"", ""jcr"": ""Q4""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__jcr_q4.csv
2,146,,Q3,,Q1_oldest,,citation_q3__year_q1_oldest,citation=Q3 | year=Q1_oldest,"{""citation"": ""Q3"", ""year"": ""Q1_oldest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__year_q1_oldest.csv
2,284,,Q3,,Q2,,citation_q3__year_q2,citation=Q3 | year=Q2,"{""citation"": ""Q3"", ""year"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__year_q2.csv
2,206,,Q3,,Q3,,citation_q3__year_q3,citation=Q3 | year=Q3,"{""citation"": ""Q3"", ""year"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__year_q3.csv
2,57,,Q3,,Q4_newest,,citation_q3__year_q4_newest,citation=Q3 | year=Q4_newest,"{""citation"": ""Q3"", ""year"": ""Q4_newest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q3__year_q4_newest.csv
2,162,,Q4_highest,,,bio_evo,citation_q4_highest__discipline_bio_evo,citation=Q4_highest | discipline=bio_evo,"{""citation"": ""Q4_highest"", ""discipline"": ""bio_evo""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__discipline_bio_evo.csv
2,158,,Q4_highest,,,economics,citation_q4_highest__discipline_economics,citation=Q4_highest | discipline=economics,"{""citation"": ""Q4_highest"", ""discipline"": ""economics""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__discipline_economics.csv
2,116,,Q4_highest,,,math_phys_cs,citation_q4_highest__discipline_math_phys_cs,citation=Q4_highest | discipline=math_phys_cs,"{""citation"": ""Q4_highest"", ""discipline"": ""math_phys_cs""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__discipline_math_phys_cs.csv
2,164,,Q4_highest,,,multidisciplinary,citation_q4_highest__discipline_multidisciplinary,citation=Q4_highest | discipline=multidisciplinary,"{""citation"": ""Q4_highest"", ""discipline"": ""multidisciplinary""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__discipline_multidisciplinary.csv
2,12,,Q4_highest,,,other,citation_q4_highest__discipline_other,citation=Q4_highest | discipline=other,"{""citation"": ""Q4_highest"", ""discipline"": ""other""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__discipline_other.csv
2,175,,Q4_highest,,,psych_social,citation_q4_highest__discipline_psych_social,citation=Q4_highest | discipline=psych_social,"{""citation"": ""Q4_highest"", ""discipline"": ""psych_social""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__discipline_psych_social.csv
2,462,,Q4_highest,Q1,,,citation_q4_highest__jcr_q1,citation=Q4_highest | jcr=Q1,"{""citation"": ""Q4_highest"", ""jcr"": ""Q1""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__jcr_q1.csv
2,103,,Q4_highest,Q2,,,citation_q4_highest__jcr_q2,citation=Q4_highest | jcr=Q2,"{""citation"": ""Q4_highest"", ""jcr"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__jcr_q2.csv
2,88,,Q4_highest,Q3,,,citation_q4_highest__jcr_q3,citation=Q4_highest | jcr=Q3,"{""citation"": ""Q4_highest"", ""jcr"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__jcr_q3.csv
2,7,,Q4_highest,Q4,,,citation_q4_highest__jcr_q4,citation=Q4_highest | jcr=Q4,"{""citation"": ""Q4_highest"", ""jcr"": ""Q4""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__jcr_q4.csv
2,414,,Q4_highest,,Q1_oldest,,citation_q4_highest__year_q1_oldest,citation=Q4_highest | year=Q1_oldest,"{""citation"": ""Q4_highest"", ""year"": ""Q1_oldest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__year_q1_oldest.csv
2,195,,Q4_highest,,Q2,,citation_q4_highest__year_q2,citation=Q4_highest | year=Q2,"{""citation"": ""Q4_highest"", ""year"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__year_q2.csv
2,63,,Q4_highest,,Q3,,citation_q4_highest__year_q3,citation=Q4_highest | year=Q3,"{""citation"": ""Q4_highest"", ""year"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__year_q3.csv
2,12,,Q4_highest,,Q4_newest,,citation_q4_highest__year_q4_newest,citation=Q4_highest | year=Q4_newest,"{""citation"": ""Q4_highest"", ""year"": ""Q4_newest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/citation_q4_highest__year_q4_newest.csv
2,200,,,Q1,,bio_evo,jcr_q1__discipline_bio_evo,jcr=Q1 | discipline=bio_evo,"{""discipline"": ""bio_evo"", ""jcr"": ""Q1""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q1__discipline_bio_evo.csv
2,190,,,Q1,,economics,jcr_q1__discipline_economics,jcr=Q1 | discipline=economics,"{""discipline"": ""economics"", ""jcr"": ""Q1""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q1__discipline_economics.csv
2,334,,,Q1,,math_phys_cs,jcr_q1__discipline_math_phys_cs,jcr=Q1 | discipline=math_phys_cs,"{""discipline"": ""math_phys_cs"", ""jcr"": ""Q1""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q1__discipline_math_phys_cs.csv
2,449,,,Q1,,multidisciplinary,jcr_q1__discipline_multidisciplinary,jcr=Q1 | discipline=multidisciplinary,"{""discipline"": ""multidisciplinary"", ""jcr"": ""Q1""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q1__discipline_multidisciplinary.csv
2,51,,,Q1,,other,jcr_q1__discipline_other,jcr=Q1 | discipline=other,"{""discipline"": ""other"", ""jcr"": ""Q1""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q1__discipline_other.csv
2,367,,,Q1,,psych_social,jcr_q1__discipline_psych_social,jcr=Q1 | discipline=psych_social,"{""discipline"": ""psych_social"", ""jcr"": ""Q1""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q1__discipline_psych_social.csv
2,351,,,Q1,Q1_oldest,,jcr_q1__year_q1_oldest,jcr=Q1 | year=Q1_oldest,"{""jcr"": ""Q1"", ""year"": ""Q1_oldest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q1__year_q1_oldest.csv
2,384,,,Q1,Q2,,jcr_q1__year_q2,jcr=Q1 | year=Q2,"{""jcr"": ""Q1"", ""year"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q1__year_q2.csv
2,317,,,Q1,Q3,,jcr_q1__year_q3,jcr=Q1 | year=Q3,"{""jcr"": ""Q1"", ""year"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q1__year_q3.csv
2,390,,,Q1,Q4_newest,,jcr_q1__year_q4_newest,jcr=Q1 | year=Q4_newest,"{""jcr"": ""Q1"", ""year"": ""Q4_newest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q1__year_q4_newest.csv
2,52,,,Q2,,bio_evo,jcr_q2__discipline_bio_evo,jcr=Q2 | discipline=bio_evo,"{""discipline"": ""bio_evo"", ""jcr"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q2__discipline_bio_evo.csv
2,343,,,Q2,,economics,jcr_q2__discipline_economics,jcr=Q2 | discipline=economics,"{""discipline"": ""economics"", ""jcr"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q2__discipline_economics.csv
2,238,,,Q2,,math_phys_cs,jcr_q2__discipline_math_phys_cs,jcr=Q2 | discipline=math_phys_cs,"{""discipline"": ""math_phys_cs"", ""jcr"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q2__discipline_math_phys_cs.csv
2,9,,,Q2,,multidisciplinary,jcr_q2__discipline_multidisciplinary,jcr=Q2 | discipline=multidisciplinary,"{""discipline"": ""multidisciplinary"", ""jcr"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q2__discipline_multidisciplinary.csv
2,16,,,Q2,,other,jcr_q2__discipline_other,jcr=Q2 | discipline=other,"{""discipline"": ""other"", ""jcr"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q2__discipline_other.csv
2,182,,,Q2,,psych_social,jcr_q2__discipline_psych_social,jcr=Q2 | discipline=psych_social,"{""discipline"": ""psych_social"", ""jcr"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q2__discipline_psych_social.csv
2,157,,,Q2,Q1_oldest,,jcr_q2__year_q1_oldest,jcr=Q2 | year=Q1_oldest,"{""jcr"": ""Q2"", ""year"": ""Q1_oldest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q2__year_q1_oldest.csv
2,203,,,Q2,Q2,,jcr_q2__year_q2,jcr=Q2 | year=Q2,"{""jcr"": ""Q2"", ""year"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q2__year_q2.csv
2,208,,,Q2,Q3,,jcr_q2__year_q3,jcr=Q2 | year=Q3,"{""jcr"": ""Q2"", ""year"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q2__year_q3.csv
2,170,,,Q2,Q4_newest,,jcr_q2__year_q4_newest,jcr=Q2 | year=Q4_newest,"{""jcr"": ""Q2"", ""year"": ""Q4_newest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q2__year_q4_newest.csv
2,157,,,Q3,,bio_evo,jcr_q3__discipline_bio_evo,jcr=Q3 | discipline=bio_evo,"{""discipline"": ""bio_evo"", ""jcr"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q3__discipline_bio_evo.csv
2,120,,,Q3,,economics,jcr_q3__discipline_economics,jcr=Q3 | discipline=economics,"{""discipline"": ""economics"", ""jcr"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q3__discipline_economics.csv
2,152,,,Q3,,math_phys_cs,jcr_q3__discipline_math_phys_cs,jcr=Q3 | discipline=math_phys_cs,"{""discipline"": ""math_phys_cs"", ""jcr"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q3__discipline_math_phys_cs.csv
2,15,,,Q3,,other,jcr_q3__discipline_other,jcr=Q3 | discipline=other,"{""discipline"": ""other"", ""jcr"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q3__discipline_other.csv
2,105,,,Q3,,psych_social,jcr_q3__discipline_psych_social,jcr=Q3 | discipline=psych_social,"{""discipline"": ""psych_social"", ""jcr"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q3__discipline_psych_social.csv
2,142,,,Q3,Q1_oldest,,jcr_q3__year_q1_oldest,jcr=Q3 | year=Q1_oldest,"{""jcr"": ""Q3"", ""year"": ""Q1_oldest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q3__year_q1_oldest.csv
2,99,,,Q3,Q2,,jcr_q3__year_q2,jcr=Q3 | year=Q2,"{""jcr"": ""Q3"", ""year"": ""Q2""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q3__year_q2.csv
2,92,,,Q3,Q3,,jcr_q3__year_q3,jcr=Q3 | year=Q3,"{""jcr"": ""Q3"", ""year"": ""Q3""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q3__year_q3.csv
2,65,,,Q3,Q4_newest,,jcr_q3__year_q4_newest,jcr=Q3 | year=Q4_newest,"{""jcr"": ""Q3"", ""year"": ""Q4_newest""}",literature/output/evidence_cards/literature_evidence_cards_cleaned/collection_metadata_sets/sets/jcr_q3__year_q4_newest.csv
