wave,feature,level,n,true_mean_effect,true_positive_share,baseline_mean_effect,baseline_positive_share,baseline_reasoning_mean_effect,baseline_reasoning_positive_share,baseline_joint_mean_effect,baseline_joint_positive_share,baseline_joint_reasoning_mean_effect,baseline_joint_reasoning_positive_share
learning_wave,CONFIG_showOtherSummaries,0,73,-3.2311003236142604,0.3835616438356164,-4.299326514416783,0.0410958904109589,-2.000139431091994,0.2054794520547945,0.8491756374011569,0.9041095890410958,2.1231482401408828,0.9863013698630136
learning_wave,CONFIG_showOtherSummaries,1,77,-1.5565849474458917,0.4675324675324675,-4.058940802432868,0.025974025974025976,-1.7061225427374163,0.22077922077922077,0.8782930416781682,0.8961038961038961,2.7224488858340123,0.961038961038961
learning_wave,CONFIG_showPunishmentId,0,74,-2.5205485636083296,0.40540540540540543,-4.116094359928994,0.02702702702702703,-2.1016480556479227,0.20270270270270271,0.8983519443520773,0.918918918918919,2.222676268676402,0.9594594594594594
learning_wave,CONFIG_showPunishmentId,1,76,-2.2264048798705027,0.4473684210526316,-4.234188088223823,0.039473684210526314,-1.6034165545072412,0.2236842105263158,0.8307939718085483,0.881578947368421,2.6334255507559168,0.9868421052631579
validation_20,CONFIG_chat,0,7,-4.231653392860953,0.2857142857142857,-5.4250073807010795,0.0,-2.8649073222484946,0.14285714285714285,-0.436335893677066,0.2857142857142857,0.7065212491800769,0.5714285714285714
validation_20,CONFIG_chat,1,13,-1.1129830112667731,0.46153846153846156,-4.145616837240125,0.07692307692307693,-2.115224208217393,0.07692307692307693,-1.1152242082173929,0.07692307692307693,-0.8844549774481621,0.46153846153846156
validation_20,CONFIG_allOrNothing,0,11,-3.100330103132642,0.2727272727272727,-4.2813846355921354,0.09090909090909091,-2.959761990270147,0.09090909090909091,-1.0506710811792381,0.09090909090909091,-0.5052165357246927,0.45454545454545453
validation_20,CONFIG_allOrNothing,1,9,-1.1096357513372952,0.5555555555555556,-4.974759950835075,0.0,-1.6660982299548834,0.1111111111111111,-0.6660982299548834,0.2222222222222222,-0.11054267439932788,0.5555555555555556
validation_20,CONFIG_defaultContribProp,0,12,-3.143643627375711,0.3333333333333333,-5.041498808092189,0.08333333333333333,-2.82470676344575,0.08333333333333333,-1.3247067634457501,0.0,-0.9080400967790835,0.4166666666666667
validation_20,CONFIG_defaultContribProp,1,8,-0.795828670998274,0.5,-3.921260606490362,0.0,-1.7069731001520712,0.125,-0.20697310015207115,0.375,0.5430268998479288,0.625
validation_20,CONFIG_rewardExists,0,9,-2.904229856175143,0.4444444444444444,-5.2161054138351055,0.0,-2.1438402605603497,0.1111111111111111,-0.5882847050047941,0.2222222222222222,-0.25495137167146076,0.5555555555555556
validation_20,CONFIG_rewardExists,1,11,-1.6320258355380395,0.36363636363636365,-4.083920165864838,0.09090909090909091,-2.568882147047493,0.09090909090909091,-1.1143366925020386,0.09090909090909091,-0.38706396522931125,0.45454545454545453
validation_20,CONFIG_showNRounds,0,6,0.8478527533514656,0.5,-3.5343370972427812,0.16666666666666666,0.10430696115659306,0.3333333333333333,-0.8956930388434069,0.16666666666666666,1.604306961156593,0.6666666666666666
validation_20,CONFIG_showNRounds,1,14,-3.512676386900251,0.35714285714285715,-5.047289140398035,0.0,-3.4412934092503664,0.0,-0.8698648378217949,0.14285714285714285,-1.1555791235360806,0.42857142857142855
validation_20,CONFIG_showOtherSummaries,0,7,-2.063570227899955,0.42857142857142855,-4.62513403542259,0.0,-3.4493242281804806,0.0,-1.0207527996090522,0.0,-0.7350385138947664,0.5714285714285714
validation_20,CONFIG_showOtherSummaries,1,13,-2.2804124077842336,0.38461538461538464,-4.576317869313157,0.07692307692307693,-1.8005381819463235,0.15384615384615385,-0.8005381819463235,0.23076923076923078,-0.10823048963863122,0.46153846153846156
validation_20,CONFIG_showPunishmentId,0,10,-4.801431747074557,0.3,-4.8567565127225505,0.0,-2.5406015991062816,0.1,-0.7406015991062815,0.2,-0.4406015991062816,0.5
validation_20,CONFIG_showPunishmentId,1,10,0.39239645742508455,0.5,-4.330050542180366,0.1,-2.2146249971502754,0.1,-1.0146249971502754,0.1,-0.21462499715027547,0.5
