collection_id,collection_count,chunk_index,n_chunks,chunk_paper_count,chunk_chars,custom_id,bundle_path
broad_empirical_payoff_like,409,3,5,96,79996,collection_chunk/broad_empirical_payoff_like/chunk003,literature/output/collection_synthesis_inputs/chunks/broad_empirical_payoff_like_chunk003.md
broad_empirical_payoff_like,409,4,5,96,80170,collection_chunk/broad_empirical_payoff_like/chunk004,literature/output/collection_synthesis_inputs/chunks/broad_empirical_payoff_like_chunk004.md
broad_empirical_payoff_like,409,5,5,24,19994,collection_chunk/broad_empirical_payoff_like/chunk005,literature/output/collection_synthesis_inputs/chunks/broad_empirical_payoff_like_chunk005.md
broad_payoff_like,874,1,9,96,79428,collection_chunk/broad_payoff_like/chunk001,literature/output/collection_synthesis_inputs/chunks/broad_payoff_like_chunk001.md
broad_payoff_like,874,2,9,96,79829,collection_chunk/broad_payoff_like/chunk002,literature/output/collection_synthesis_inputs/chunks/broad_payoff_like_chunk002.md
broad_payoff_like,874,3,9,100,80061,collection_chunk/broad_payoff_like/chunk003,literature/output/collection_synthesis_inputs/chunks/broad_payoff_like_chunk003.md
broad_payoff_like,874,4,9,99,80177,collection_chunk/broad_payoff_like/chunk004,literature/output/collection_synthesis_inputs/chunks/broad_payoff_like_chunk004.md
broad_payoff_like,874,5,9,97,79500,collection_chunk/broad_payoff_like/chunk005,literature/output/collection_synthesis_inputs/chunks/broad_payoff_like_chunk005.md
broad_payoff_like,874,6,9,97,79584,collection_chunk/broad_payoff_like/chunk006,literature/output/collection_synthesis_inputs/chunks/broad_payoff_like_chunk006.md
broad_payoff_like,874,7,9,98,79425,collection_chunk/broad_payoff_like/chunk007,literature/output/collection_synthesis_inputs/chunks/broad_payoff_like_chunk007.md
broad_payoff_like,874,8,9,98,80065,collection_chunk/broad_payoff_like/chunk008,literature/output/collection_synthesis_inputs/chunks/broad_payoff_like_chunk008.md
broad_payoff_like,874,9,9,93,73914,collection_chunk/broad_payoff_like/chunk009,literature/output/collection_synthesis_inputs/chunks/broad_payoff_like_chunk009.md
exactclose_empirical_payoff,242,1,3,96,79425,collection_chunk/exactclose_empirical_payoff/chunk001,literature/output/collection_synthesis_inputs/chunks/exactclose_empirical_payoff_chunk001.md
exactclose_empirical_payoff,242,2,3,97,80015,collection_chunk/exactclose_empirical_payoff/chunk002,literature/output/collection_synthesis_inputs/chunks/exactclose_empirical_payoff_chunk002.md
exactclose_empirical_payoff,242,3,3,49,41248,collection_chunk/exactclose_empirical_payoff/chunk003,literature/output/collection_synthesis_inputs/chunks/exactclose_empirical_payoff_chunk003.md
exactclose_pggpun,866,1,9,96,79428,collection_chunk/exactclose_pggpun/chunk001,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_chunk001.md
exactclose_pggpun,866,2,9,96,79829,collection_chunk/exactclose_pggpun/chunk002,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_chunk002.md
exactclose_pggpun,866,3,9,100,80198,collection_chunk/exactclose_pggpun/chunk003,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_chunk003.md
exactclose_pggpun,866,4,9,97,79614,collection_chunk/exactclose_pggpun/chunk004,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_chunk004.md
exactclose_pggpun,866,5,9,96,79752,collection_chunk/exactclose_pggpun/chunk005,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_chunk005.md
exactclose_pggpun,866,6,9,99,79863,collection_chunk/exactclose_pggpun/chunk006,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_chunk006.md
exactclose_pggpun,866,7,9,97,80075,collection_chunk/exactclose_pggpun/chunk007,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_chunk007.md
exactclose_pggpun,866,8,9,97,79510,collection_chunk/exactclose_pggpun/chunk008,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_chunk008.md
exactclose_pggpun,866,9,9,88,71249,collection_chunk/exactclose_pggpun/chunk009,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_chunk009.md
exactclose_pggpun_empirical,440,1,5,96,79425,collection_chunk/exactclose_pggpun_empirical/chunk001,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_empirical_chunk001.md
exactclose_pggpun_empirical,440,2,5,96,79676,collection_chunk/exactclose_pggpun_empirical/chunk002,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_empirical_chunk002.md
exactclose_pggpun_empirical,440,3,5,96,79887,collection_chunk/exactclose_pggpun_empirical/chunk003,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_empirical_chunk003.md
exactclose_pggpun_empirical,440,4,5,96,79667,collection_chunk/exactclose_pggpun_empirical/chunk004,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_empirical_chunk004.md
exactclose_pggpun_empirical,440,5,5,56,47646,collection_chunk/exactclose_pggpun_empirical/chunk005,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_empirical_chunk005.md
exactclose_pggpun_payoff_like,432,1,5,96,79440,collection_chunk/exactclose_pggpun_payoff_like/chunk001,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_payoff_like_chunk001.md
exactclose_pggpun_payoff_like,432,2,5,96,79841,collection_chunk/exactclose_pggpun_payoff_like/chunk002,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_payoff_like_chunk002.md
exactclose_pggpun_payoff_like,432,3,5,100,80073,collection_chunk/exactclose_pggpun_payoff_like/chunk003,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_payoff_like_chunk003.md
exactclose_pggpun_payoff_like,432,4,5,97,79704,collection_chunk/exactclose_pggpun_payoff_like/chunk004,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_payoff_like_chunk004.md
exactclose_pggpun_payoff_like,432,5,5,43,34860,collection_chunk/exactclose_pggpun_payoff_like/chunk005,literature/output/collection_synthesis_inputs/chunks/exactclose_pggpun_payoff_like_chunk005.md
