custom_id,n_experiments_gpt41,n_experiments_sonnet46,count_match,delta
10.1111_bjso.12450,10,8,False,-2
10.1111_j.1468-0297.2009.02288.x,4,2,False,-2
10.1111_jems.12570,4,2,False,-2
10.1126_science.7652573,3,1,False,-2
10.1257_mic.6.1.290,4,2,False,-2
10.1287_mnsc.1110.1466,8,6,False,-2
10.1628_093245607780182008,4,2,False,-2
10.3390_g10010012,8,6,False,-2
10.4284_0038-4038-2011.033,4,2,False,-2
10.1016_j.chieco.2022.101826,6,3,False,-3
10.1016_j.evolhumbehav.2007.08.002,8,5,False,-3
10.1016_j.jebo.2017.06.006,6,3,False,-3
10.1038_s41598-020-67757-1,9,6,False,-3
10.1038_srep38349,5,2,False,-3
10.1073_pnas.2014759117,4,1,False,-3
10.1080_15534510.2012.729493,6,3,False,-3
10.1086_730717,6,3,False,-3
10.1093_sf_soad073,7,4,False,-3
10.1098_rspb.2012.0937,6,3,False,-3
10.1523_jneurosci.2303-21.2022,10,7,False,-3
10.1007_s10551-025-05998-8,10,6,False,-4
10.1007_s11238-022-09897-6,8,4,False,-4
10.1016_j.euroecorev.2024.104682,8,4,False,-4
10.1016_j.evolhumbehav.2008.01.001,9,5,False,-4
10.1016_j.jebo.2005.04.018,7,3,False,-4
10.1016_j.jebo.2018.11.013,8,4,False,-4
10.1016_j.obhdp.2009.01.004,16,12,False,-4
10.1038_s41598-024-69206-9,8,4,False,-4
10.1038_srep10321,8,4,False,-4
10.1080_0013791x.2011.650839,8,4,False,-4
10.1111_j.1439-0310.2012.02075.x,5,1,False,-4
10.1523_jneurosci.2761-12.2013,8,4,False,-4
10.3389_fpsyg.2019.00651,8,4,False,-4
10.3389_fpsyg.2022.794953,8,4,False,-4
10.3389_fpsyg.2022.816168,8,4,False,-4
10.1016_j.irle.2019.105858,10,5,False,-5
10.1016_j.jebo.2011.01.018,10,5,False,-5
10.1037_xge0000154,10,5,False,-5
10.1037_0022-3514.76.4.587,12,6,False,-6
10.1038_sdata.2016.99,10,4,False,-6
10.1177_0190272513518803,12,6,False,-6
10.3389_fnhum.2013.00252,9,3,False,-6
10.1073_pnas.2013744117,12,4,False,-8
10.3390_bs13060456,12,4,False,-8
10.1177_1368430208098783,18,7,False,-11
10.1002_bdm.1810,4,4,True,0
10.1002_bdm.2050,3,3,True,0
10.1002_bdm.2208,3,3,True,0
10.1002_bdm.2273,4,4,True,0
10.1002_ejsp.227,3,3,True,0
10.1002_ejsp.506,7,7,True,0
10.1002_ijop.12257,2,2,True,0
10.1002_ird.2704,4,4,True,0
10.1002_mde.4492,4,4,True,0
10.1002_pchj.259,4,4,True,0
10.1002_soej.12626,4,4,True,0
10.1006_game.1994.1035,3,3,True,0
10.1006_game.1998.0638,6,6,True,0
10.1007_978-0-387-72596-3_8,7,7,True,0
10.1007_s00199-007-0212-0,5,5,True,0
10.1007_s00199-018-1146-4,6,6,True,0
10.1007_s00265-004-0782-9,4,4,True,0
10.1007_s00265-004-0885-3,2,2,True,0
10.1007_s00265-014-1741-8,4,4,True,0
10.1007_s00267-023-01825-w,3,3,True,0
10.1007_s00355-014-0841-8,3,3,True,0
10.1007_s00355-015-0884-5,3,3,True,0
10.1007_s00355-018-1130-8,6,6,True,0
10.1007_s00406-013-0392-5,2,2,True,0
10.1007_s10058-012-0120-z,8,8,True,0
10.1007_s10458-025-09698-5,6,6,True,0
10.1007_s10479-017-2412-8,2,2,True,0
10.1007_s10551-011-0795-z,16,16,True,0
10.1007_s10551-020-04664-5,8,8,True,0
10.1007_s10640-017-0126-7,2,2,True,0
10.1007_s10640-020-00419-y,3,3,True,0
10.1007_s10640-020-00526-w,2,2,True,0
10.1007_s10640-021-00591-9,5,5,True,0
10.1007_s10640-023-00759-5,4,4,True,0
10.1007_s10640-025-00970-6,6,6,True,0
10.1007_s10645-008-9094-1,3,3,True,0
10.1007_s10657-019-09615-8,2,2,True,0
10.1007_s10663-024-09623-1,4,4,True,0
10.1007_s10683-007-9171-3,5,5,True,0
10.1007_s10683-010-9266-0,4,4,True,0
10.1007_s10683-010-9267-z,5,5,True,0
10.1007_s10683-011-9281-9,3,3,True,0
10.1007_s10683-011-9292-6,2,2,True,0
10.1007_s10683-013-9354-z,3,3,True,0
10.1007_s10683-013-9360-1,2,2,True,0
10.1007_s10683-013-9367-7,2,2,True,0
10.1007_s10683-014-9393-0,6,6,True,0
10.1007_s10683-014-9402-3,6,6,True,0
10.1007_s10683-015-9466-8,7,7,True,0
10.1007_s10683-017-9527-2,4,4,True,0
10.1007_s10683-017-9539-y,4,4,True,0
10.1007_s10683-018-9592-1,3,3,True,0
10.1007_s10683-019-09609-y,8,8,True,0
10.1007_s10683-020-09652-0,4,4,True,0
10.1007_s11031-014-9395-4,7,7,True,0
10.1007_s11127-006-9075-3,5,5,True,0
10.1007_s11127-010-9665-y,12,12,True,0
10.1007_s11211-017-0300-7,2,2,True,0
10.1007_s11238-004-3672-8,2,2,True,0
10.1007_s11238-013-9356-5,2,2,True,0
10.1007_s11238-021-09864-7,4,4,True,0
10.1007_s11238-023-09929-9,7,7,True,0
10.1007_s11238-024-09977-9,4,4,True,0
10.1007_s11403-022-00363-8,3,3,True,0
10.1007_s11558-025-09594-3,3,3,True,0
10.1007_s11846-016-0209-9,6,6,True,0
10.1007_s11948-014-9575-3,2,2,True,0
10.1007_s12110-002-1016-3,2,2,True,0
10.1007_s12110-003-1003-3,2,2,True,0
10.1007_s12110-005-1000-9,2,2,True,0
10.1007_s12110-009-9072-6,3,3,True,0
10.1007_s12110-024-09483-5,7,7,True,0
10.1007_s12144-019-0129-3,2,2,True,0
10.1007_s12144-023-04746-3,4,4,True,0
10.1007_s12144-023-05029-7,2,2,True,0
10.1007_s12144-024-06961-y,14,14,True,0
10.1007_s40503-016-0035-0,9,9,True,0
10.1007_s40750-020-00143-3,6,6,True,0
10.1007_s40822-020-00144-3,4,4,True,0
10.1007_s40881-023-00153-3,3,3,True,0
10.1007_s40881-023-00157-z,1,1,True,0
10.1007_s40881-023-00159-x,2,2,True,0
10.1007_s40888-022-00287-3,4,4,True,0
10.1007_s41412-019-00093-6,2,2,True,0
10.1016_j.actpsy.2020.103055,4,4,True,0
10.1016_j.actpsy.2023.103957,6,6,True,0
10.1016_j.actpsy.2025.105088,2,2,True,0
10.1016_j.agsy.2015.11.012,3,3,True,0
10.1016_j.amc.2020.125063,2,2,True,0
10.1016_j.amc.2024.128836,6,6,True,0
10.1016_j.beproc.2012.06.001,6,6,True,0
10.1016_j.chaos.2019.109398,4,4,True,0
10.1016_j.chaos.2021.111183,3,3,True,0
10.1016_j.chaos.2022.112413,4,4,True,0
10.1016_j.chaos.2024.115003,5,5,True,0
10.1016_j.chaos.2025.116591,1,1,True,0
10.1016_j.chieco.2025.102459,2,2,True,0
10.1016_j.cognition.2022.105215,3,3,True,0
10.1016_j.cub.2006.03.069,2,2,True,0
10.1016_j.drugalcdep.2013.08.013,2,2,True,0
10.1016_j.ecolecon.2008.01.015,6,6,True,0
10.1016_j.ecolecon.2013.08.010,8,8,True,0
10.1016_j.ecolecon.2015.04.005,8,8,True,0
10.1016_j.ecolecon.2015.05.011,4,4,True,0
10.1016_j.ecolecon.2019.106432,4,4,True,0
10.1016_j.ecolecon.2022.107597,4,4,True,0
10.1016_j.ecolecon.2023.107932,4,4,True,0
10.1016_j.ecolecon.2024.108388,4,4,True,0
10.1016_j.ecolecon.2024.108438,6,6,True,0
10.1016_j.econlet.2007.09.048,4,4,True,0
10.1016_j.econlet.2009.08.024,2,2,True,0
10.1016_j.econlet.2012.08.002,2,2,True,0
10.1016_j.econlet.2012.08.014,2,2,True,0
10.1016_j.econlet.2014.05.017,1,1,True,0
10.1016_j.econlet.2017.01.016,4,4,True,0
10.1016_j.econlet.2018.07.043,2,2,True,0
10.1016_j.econlet.2020.109155,4,4,True,0
10.1016_j.ejpoleco.2013.11.005,6,6,True,0
10.1016_j.ejpoleco.2022.102222,2,2,True,0
10.1016_j.ejpoleco.2022.102354,8,8,True,0
10.1016_j.envsci.2014.05.006,8,8,True,0
10.1016_j.euroecorev.2004.10.005,3,3,True,0
10.1016_j.euroecorev.2008.09.005,6,6,True,0
10.1016_j.euroecorev.2008.09.007,6,6,True,0
10.1016_j.euroecorev.2010.04.003,8,8,True,0
10.1016_j.euroecorev.2012.05.003,4,4,True,0
10.1016_j.euroecorev.2012.09.008,6,6,True,0
10.1016_j.euroecorev.2014.11.009,7,7,True,0
10.1016_j.euroecorev.2015.06.004,6,6,True,0
10.1016_j.euroecorev.2017.01.007,6,6,True,0
10.1016_j.euroecorev.2017.07.013,4,4,True,0
10.1016_j.euroecorev.2018.05.004,6,6,True,0
10.1016_j.euroecorev.2023.104466,5,5,True,0
10.1016_j.euroecorev.2023.104659,4,4,True,0
10.1016_j.euroecorev.2024.104795,2,2,True,0
10.1016_j.euroecorev.2024.104818,4,4,True,0
10.1016_j.euroecorev.2024.104885,6,6,True,0
10.1016_j.evolhumbehav.2004.08.009,1,1,True,0
10.1016_j.evolhumbehav.2006.06.001,5,5,True,0
10.1016_j.evolhumbehav.2007.04.001,2,2,True,0
10.1016_j.evolhumbehav.2013.10.001,8,8,True,0
10.1016_j.evolhumbehav.2015.12.003,5,5,True,0
10.1016_j.evolhumbehav.2015.12.004,4,4,True,0
10.1016_j.evolhumbehav.2017.07.003,4,4,True,0
10.1016_j.evolhumbehav.2021.04.002,3,3,True,0
10.1016_j.evolhumbehav.2022.10.002,6,6,True,0
10.1016_j.evolhumbehav.2023.03.001,3,3,True,0
10.1016_j.evolhumbehav.2025.106711,4,4,True,0
10.1016_j.forpol.2004.03.006,4,4,True,0
10.1016_j.forpol.2020.102121,4,4,True,0
10.1016_j.geb.2004.08.007,3,3,True,0
10.1016_j.geb.2009.09.004,3,3,True,0
10.1016_j.geb.2012.10.001,8,8,True,0
10.1016_j.geb.2012.10.011,3,3,True,0
10.1016_j.geb.2013.06.012,2,2,True,0
10.1016_j.geb.2014.01.002,6,6,True,0
10.1016_j.geb.2014.03.006,6,6,True,0
10.1016_j.geb.2015.10.001,5,5,True,0
10.1016_j.geb.2016.02.009,3,3,True,0
10.1016_j.geb.2017.09.015,4,4,True,0
10.1016_j.geb.2018.10.003,7,7,True,0
10.1016_j.geb.2020.07.001,5,5,True,0
10.1016_j.geb.2020.08.004,5,5,True,0
10.1016_j.geb.2021.08.003,4,4,True,0
10.1016_j.geb.2021.11.012,3,3,True,0
10.1016_j.geb.2022.03.015,4,4,True,0
10.1016_j.geb.2023.02.005,6,6,True,0
10.1016_j.geb.2023.08.017,5,5,True,0
10.1016_j.irle.2014.03.001,6,6,True,0
10.1016_j.irle.2018.12.010,4,4,True,0
10.1016_j.irle.2020.105931,4,4,True,0
10.1016_j.isci.2020.101438,8,8,True,0
10.1016_j.isci.2025.112833,10,10,True,0
10.1016_j.jdeveco.2011.12.002,4,4,True,0
10.1016_j.jebo.2003.06.006,8,8,True,0
10.1016_j.jebo.2003.11.006,2,2,True,0
10.1016_j.jebo.2008.02.006,3,3,True,0
10.1016_j.jebo.2008.09.007,2,2,True,0
10.1016_j.jebo.2009.01.006,5,5,True,0
10.1016_j.jebo.2009.03.011,4,4,True,0
10.1016_j.jebo.2009.11.001,2,2,True,0
10.1016_j.jebo.2009.11.003,3,3,True,0
10.1016_j.jebo.2011.01.005,1,1,True,0
10.1016_j.jebo.2011.01.017,3,3,True,0
10.1016_j.jebo.2011.09.002,4,4,True,0
10.1016_j.jebo.2011.10.002,2,2,True,0
10.1016_j.jebo.2011.10.020,8,8,True,0
10.1016_j.jebo.2012.09.013,3,3,True,0
10.1016_j.jebo.2012.12.024,4,4,True,0
10.1016_j.jebo.2013.04.001,4,4,True,0
10.1016_j.jebo.2013.08.006,2,2,True,0
10.1016_j.jebo.2014.07.005,3,3,True,0
10.1016_j.jebo.2014.11.004,5,5,True,0
10.1016_j.jebo.2014.11.009,6,6,True,0
10.1016_j.jebo.2015.02.002,5,5,True,0
10.1016_j.jebo.2015.03.005,9,9,True,0
10.1016_j.jebo.2015.03.009,4,4,True,0
10.1016_j.jebo.2015.03.018,8,8,True,0
10.1016_j.jebo.2015.09.008,8,8,True,0
10.1016_j.jebo.2015.09.020,8,8,True,0
10.1016_j.jebo.2016.06.003,5,5,True,0
10.1016_j.jebo.2016.09.012,9,9,True,0
10.1016_j.jebo.2016.09.015,3,3,True,0
10.1016_j.jebo.2017.06.004,3,3,True,0
10.1016_j.jebo.2017.07.009,4,4,True,0
10.1016_j.jebo.2017.07.035,5,5,True,0
10.1016_j.jebo.2017.10.009,4,4,True,0
10.1016_j.jebo.2017.11.016,3,3,True,0
10.1016_j.jebo.2017.12.024,6,6,True,0
10.1016_j.jebo.2018.01.009,3,3,True,0
10.1016_j.jebo.2018.04.002,6,6,True,0
10.1016_j.jebo.2018.08.008,3,3,True,0
10.1016_j.jebo.2018.11.020,6,6,True,0
10.1016_j.jebo.2018.12.029,4,4,True,0
10.1016_j.jebo.2019.03.007,3,3,True,0
10.1016_j.jebo.2019.05.033,4,4,True,0
10.1016_j.jebo.2019.06.019,4,4,True,0
10.1016_j.jebo.2019.12.007,7,7,True,0
10.1016_j.jebo.2020.03.035,3,3,True,0
10.1016_j.jebo.2020.06.009,5,5,True,0
10.1016_j.jebo.2020.07.031,9,9,True,0
10.1016_j.jebo.2020.10.001,4,4,True,0
10.1016_j.jebo.2020.10.005,1,1,True,0
10.1016_j.jebo.2021.04.032,6,6,True,0
10.1016_j.jebo.2021.05.003,6,6,True,0
10.1016_j.jebo.2023.01.012,12,12,True,0
10.1016_j.jebo.2023.03.023,8,8,True,0
10.1016_j.jebo.2023.04.004,3,3,True,0
10.1016_j.jebo.2023.06.027,4,4,True,0
10.1016_j.jebo.2023.09.006,8,8,True,0
10.1016_j.jebo.2023.10.029,4,4,True,0
10.1016_j.jebo.2023.11.003,3,3,True,0
10.1016_j.jebo.2024.02.009,6,6,True,0
10.1016_j.jebo.2025.106991,8,8,True,0
10.1016_j.jebo.2025.107071,7,7,True,0
10.1016_j.jebo.2025.107138,6,6,True,0
10.1016_j.jebo.2025.107207,6,6,True,0
10.1016_j.jecp.2018.01.015,4,4,True,0
10.1016_j.jecp.2022.105376,12,12,True,0
10.1016_j.jeem.2012.09.001,4,4,True,0
10.1016_j.jeem.2018.06.008,3,3,True,0
10.1016_j.jeem.2023.102895,3,3,True,0
10.1016_j.jenvp.2009.05.003,8,8,True,0
10.1016_j.jenvp.2018.11.002,4,4,True,0
10.1016_j.jesp.2005.03.002,7,7,True,0
10.1016_j.jesp.2008.06.004,5,5,True,0
10.1016_j.jesp.2009.02.017,14,14,True,0
10.1016_j.jesp.2018.06.009,5,5,True,0
10.1016_j.jesp.2020.104096,8,8,True,0
10.1016_j.jesp.2024.104682,4,4,True,0
10.1016_j.jesp.2024.104695,7,7,True,0
10.1016_j.jet.2008.10.005,4,4,True,0
10.1016_j.joep.2009.04.004,2,2,True,0
10.1016_j.joep.2010.03.016,3,3,True,0
10.1016_j.joep.2010.07.002,4,4,True,0
10.1016_j.joep.2012.10.004,3,3,True,0
10.1016_j.joep.2012.12.003,5,5,True,0
10.1016_j.joep.2013.01.001,6,6,True,0
10.1016_j.joep.2013.07.002,4,4,True,0
10.1016_j.joep.2016.02.008,3,3,True,0
10.1016_j.joep.2016.03.002,6,6,True,0
10.1016_j.joep.2017.01.005,10,10,True,0
10.1016_j.joep.2017.03.007,5,5,True,0
10.1016_j.joep.2017.07.003,3,3,True,0
10.1016_j.joep.2018.03.003,4,4,True,0
10.1016_j.joep.2018.09.006,4,4,True,0
10.1016_j.joep.2019.102190,4,4,True,0
10.1016_j.joep.2021.102448,2,2,True,0
10.1016_j.joep.2021.102452,4,4,True,0
10.1016_j.joep.2022.102484,8,8,True,0
10.1016_j.joep.2022.102573,3,3,True,0
10.1016_j.joep.2023.102657,3,3,True,0
10.1016_j.joep.2023.102675,6,6,True,0
10.1016_j.jpubeco.2004.05.011,4,4,True,0
10.1016_j.jpubeco.2006.10.007,5,5,True,0
10.1016_j.jpubeco.2007.04.008,3,3,True,0
10.1016_j.jpubeco.2009.03.004,8,8,True,0
10.1016_j.jpubeco.2009.10.007,2,2,True,0
10.1016_j.jpubeco.2010.03.002,6,6,True,0
10.1016_j.jpubeco.2010.11.021,4,4,True,0
10.1016_j.jpubeco.2012.05.014,3,3,True,0
10.1016_j.jpubeco.2013.04.005,9,9,True,0
10.1016_j.jpubeco.2014.05.002,11,11,True,0
10.1016_j.jpubeco.2014.10.001,8,8,True,0
10.1016_j.jpubeco.2014.10.008,4,4,True,0
10.1016_j.jpubeco.2015.03.012,8,8,True,0
10.1016_j.jpubeco.2015.12.012,4,4,True,0
