model,kind,item_id,group,correlation,count
Claude Sonnet 4.6,individual_papers,10.1007_s001820050124,Non-empirical,0.6635510921478271,
Claude Sonnet 4.6,individual_papers,10.1007_s00191-004-0212-1,Non-empirical,0.664838433265686,
Claude Sonnet 4.6,individual_papers,10.1007_s00191-009-0162-8,Non-empirical,0.6561515927314758,
Claude Sonnet 4.6,individual_papers,10.1007_s00191-010-0204-2,Non-empirical,0.6590806841850281,
Claude Sonnet 4.6,individual_papers,10.1007_s00191-013-0328-2,Non-empirical,0.6423625349998474,
Claude Sonnet 4.6,individual_papers,10.1007_s00191-014-0375-3,Non-empirical,0.6300310492515564,
Claude Sonnet 4.6,individual_papers,10.1007_s00191-014-0387-z,Non-empirical,0.6441476345062256,
Claude Sonnet 4.6,individual_papers,10.1007_s00191-020-00720-5,Non-empirical,0.6778311729431152,
Claude Sonnet 4.6,individual_papers,10.1007_s00191-021-00739-2,Non-empirical,0.6471171379089355,
Claude Sonnet 4.6,individual_papers,10.1007_s00199-005-0633-6,Empirical,0.6928164958953857,
Claude Sonnet 4.6,individual_papers,10.1007_s00199-007-0212-0,Empirical,0.5157391428947449,
Claude Sonnet 4.6,individual_papers,10.1007_s00199-008-0421-1,Non-empirical,0.6716195344924927,
Claude Sonnet 4.6,individual_papers,10.1007_s00199-015-0909-4,Non-empirical,0.6696109175682068,
Claude Sonnet 4.6,individual_papers,10.1007_s00199-018-1146-4,Empirical,0.6508100628852844,
Claude Sonnet 4.6,individual_papers,10.1007_s00265-004-0782-9,Empirical,0.6812307834625244,
Claude Sonnet 4.6,individual_papers,10.1007_s00265-004-0885-3,Empirical,0.6150863766670227,
Claude Sonnet 4.6,individual_papers,10.1007_s00265-014-1741-8,Empirical,0.6583258509635925,
Claude Sonnet 4.6,individual_papers,10.1007_s00265-019-2667-y,Non-empirical,0.6353764533996582,
Claude Sonnet 4.6,individual_papers,10.1007_s00265-023-03380-0,Non-empirical,0.6531442999839783,
Claude Sonnet 4.6,individual_papers,10.1007_s00267-023-01825-w,Empirical,0.614142119884491,
Claude Sonnet 4.6,individual_papers,10.1007_s00285-010-0363-7,Non-empirical,0.6735861897468567,
Claude Sonnet 4.6,individual_papers,10.1007_s00355-010-0493-2,Non-empirical,0.6973497271537781,
Claude Sonnet 4.6,individual_papers,10.1007_s00355-014-0841-8,Empirical,0.6682360768318176,
Claude Sonnet 4.6,individual_papers,10.1007_s00355-015-0884-5,Empirical,0.5511438846588135,
Claude Sonnet 4.6,individual_papers,10.1007_s00355-018-1130-8,Empirical,0.6744393110275269,
Claude Sonnet 4.6,individual_papers,10.1007_s00355-020-01284-w,Empirical,0.6590655446052551,
Claude Sonnet 4.6,individual_papers,10.1007_s00355-021-01363-6,Empirical,0.6481130123138428,
Claude Sonnet 4.6,individual_papers,10.1007_s00355-025-01604-y,Non-empirical,0.6808162927627563,
Claude Sonnet 4.6,individual_papers,10.1007_s10058-012-0120-z,Empirical,0.6008175611495972,
Claude Sonnet 4.6,individual_papers,10.1007_s10144-013-0423-0,Non-empirical,0.6618378162384033,
Claude Sonnet 4.6,individual_papers,10.1007_s10458-010-9122-9,Non-empirical,0.6336491107940674,
Claude Sonnet 4.6,individual_papers,10.1007_s10458-016-9338-4,Non-empirical,0.6460837721824646,
Claude Sonnet 4.6,individual_papers,10.1007_s10458-025-09698-5,Empirical,0.6629518866539001,
Claude Sonnet 4.6,individual_papers,10.1007_s10479-017-2412-8,Empirical,0.667067289352417,
Claude Sonnet 4.6,individual_papers,10.1007_s10539-004-5155-2,Non-empirical,0.6323373317718506,
Claude Sonnet 4.6,individual_papers,10.1007_s10539-007-9065-y,Non-empirical,0.6731817722320557,
Claude Sonnet 4.6,individual_papers,10.1007_s10539-012-9327-1,Non-empirical,0.6336787939071655,
Claude Sonnet 4.6,individual_papers,10.1007_s10539-012-9341-3,Non-empirical,0.6777076125144958,
Claude Sonnet 4.6,individual_papers,10.1007_s10539-013-9401-3,Non-empirical,0.6868860721588135,
Claude Sonnet 4.6,individual_papers,10.1007_s10539-023-09936-8,Non-empirical,0.6643313765525818,
Claude Sonnet 4.6,individual_papers,10.1007_s10551-011-0795-z,Empirical,0.6709221601486206,
Claude Sonnet 4.6,individual_papers,10.1007_s10551-020-04664-5,Empirical,0.6691113114356995,
Claude Sonnet 4.6,individual_papers,10.1007_s10551-024-05865-y,Empirical,0.6428213119506836,
Claude Sonnet 4.6,individual_papers,10.1007_s10551-025-05998-8,Empirical,0.6501160264015198,
Claude Sonnet 4.6,individual_papers,10.1007_s10584-010-0014-4,Non-empirical,0.6729390025138855,
Claude Sonnet 4.6,individual_papers,10.1007_s10584-016-1838-3,Non-empirical,0.6654571890830994,
Claude Sonnet 4.6,individual_papers,10.1007_s10588-008-9053-z,Non-empirical,0.6255323886871338,
Claude Sonnet 4.6,individual_papers,10.1007_s10588-009-9056-4,Non-empirical,0.6828075647354126,
Claude Sonnet 4.6,individual_papers,10.1007_s10588-013-9170-1,Non-empirical,0.6930893659591675,
Claude Sonnet 4.6,individual_papers,10.1007_s10588-015-9205-x,Non-empirical,0.6349647045135498,
Claude Sonnet 4.6,individual_papers,10.1007_s10588-017-9244-6,Non-empirical,0.6797999143600464,
Claude Sonnet 4.6,individual_papers,10.1007_s10611-018-9768-9,Non-empirical,0.6319594383239746,
Claude Sonnet 4.6,individual_papers,10.1007_s10614-008-9154-2,Non-empirical,0.6686451435089111,
Claude Sonnet 4.6,individual_papers,10.1007_s10614-020-10003-7,Non-empirical,0.616525411605835,
Claude Sonnet 4.6,individual_papers,10.1007_s10614-020-10017-1,Non-empirical,0.6579280495643616,
Claude Sonnet 4.6,individual_papers,10.1007_s10640-006-9046-7,Non-empirical,0.6521852612495422,
Claude Sonnet 4.6,individual_papers,10.1007_s10640-015-9879-z,Empirical,0.6717000007629395,
Claude Sonnet 4.6,individual_papers,10.1007_s10640-017-0126-7,Empirical,0.5961618423461914,
Claude Sonnet 4.6,individual_papers,10.1007_s10640-020-00419-y,Empirical,0.626328706741333,
Claude Sonnet 4.6,individual_papers,10.1007_s10640-020-00526-w,Empirical,0.6480608582496643,
Claude Sonnet 4.6,individual_papers,10.1007_s10640-021-00591-9,Empirical,0.6484550833702087,
Claude Sonnet 4.6,individual_papers,10.1007_s10640-023-00759-5,Empirical,0.6558961272239685,
Claude Sonnet 4.6,individual_papers,10.1007_s10640-025-00970-6,Empirical,0.6493934988975525,
Claude Sonnet 4.6,individual_papers,10.1007_s10645-008-9094-1,Empirical,0.6483836770057678,
Claude Sonnet 4.6,individual_papers,10.1007_s10657-016-9532-5,Non-empirical,0.6754136681556702,
Claude Sonnet 4.6,individual_papers,10.1007_s10657-019-09615-8,Empirical,0.6420344114303589,
Claude Sonnet 4.6,individual_papers,10.1007_s10663-024-09623-1,Empirical,0.6121626496315002,
Claude Sonnet 4.6,individual_papers,10.1007_s10668-024-05335-5,Non-empirical,0.7055115103721619,
Claude Sonnet 4.6,individual_papers,10.1007_s10683-006-9153-x,Empirical,0.6721502542495728,
Claude Sonnet 4.6,individual_papers,10.1007_s10683-011-9272-x,Empirical,0.675358772277832,
Claude Sonnet 4.6,individual_papers,10.1007_s10683-013-9360-1,Empirical,0.6127327680587769,
Claude Sonnet 4.6,individual_papers,10.1007_s10683-014-9402-3,Empirical,0.6747168302536011,
Claude Sonnet 4.6,individual_papers,10.1007_s10683-017-9527-2,Empirical,0.6224676966667175,
Claude Sonnet 4.6,individual_papers,10.1007_s10683-019-09609-y,Empirical,0.6754141449928284,
Claude Sonnet 4.6,individual_papers,10.1007_s10683-019-09629-8,Empirical,0.6613783836364746,
Claude Sonnet 4.6,individual_papers,10.1007_s10683-020-09652-0,Empirical,0.6699028015136719,
Claude Sonnet 4.6,individual_papers,10.1007_s10683-021-09737-4,Empirical,0.6723039746284485,
Claude Sonnet 4.6,individual_papers,10.1007_s10816-013-9186-3,Non-empirical,0.6466167569160461,
Claude Sonnet 4.6,individual_papers,10.1007_s10816-013-9194-3,Non-empirical,0.6691175699234009,
Claude Sonnet 4.6,individual_papers,10.1007_s10955-012-0661-0,Non-empirical,0.6495261192321777,
Claude Sonnet 4.6,individual_papers,10.1007_s10955-012-0679-3,Non-empirical,0.6566122770309448,
Claude Sonnet 4.6,individual_papers,10.1007_s10955-018-2012-2,Non-empirical,0.647757351398468,
Claude Sonnet 4.6,individual_papers,10.1007_s11031-014-9395-4,Empirical,0.6545829772949219,
Claude Sonnet 4.6,individual_papers,10.1007_s11047-016-9546-5,Non-empirical,0.6313095688819885,
Claude Sonnet 4.6,individual_papers,10.1007_s11071-019-05010-9,Non-empirical,0.6755766272544861,
Claude Sonnet 4.6,individual_papers,10.1007_s11071-020-05965-0,Non-empirical,0.6749020218849182,
Claude Sonnet 4.6,individual_papers,10.1007_s11071-023-08297-x,Non-empirical,0.6323732733726501,
Claude Sonnet 4.6,individual_papers,10.1007_s11127-006-9075-3,Empirical,0.6353276371955872,
Claude Sonnet 4.6,individual_papers,10.1007_s11127-007-9269-3,Non-empirical,0.6735304594039917,
Claude Sonnet 4.6,individual_papers,10.1007_s11127-010-9665-y,Empirical,0.6574581265449524,
Claude Sonnet 4.6,individual_papers,10.1007_s11127-016-0319-6,Empirical,0.6382046341896057,
Claude Sonnet 4.6,individual_papers,10.1007_s11127-018-0622-5,Non-empirical,0.6556784510612488,
Claude Sonnet 4.6,individual_papers,10.1007_s11127-020-00868-5,Empirical,0.6858789324760437,
Claude Sonnet 4.6,individual_papers,10.1007_s11127-021-00925-7,Empirical,0.635516345500946,
Claude Sonnet 4.6,individual_papers,10.1007_s11211-008-0064-1,Non-empirical,0.6782904267311096,
Claude Sonnet 4.6,individual_papers,10.1007_s11211-017-0300-7,Empirical,0.6259866952896118,
Claude Sonnet 4.6,individual_papers,10.1007_s11229-022-03743-6,Non-empirical,0.6470388770103455,
Claude Sonnet 4.6,individual_papers,10.1007_s11238-004-3672-8,Empirical,0.6686617732048035,
Claude Sonnet 4.6,individual_papers,10.1007_s11238-013-9356-5,Empirical,0.6962580680847168,
Claude Sonnet 4.6,individual_papers,10.1007_s11238-013-9382-3,Non-empirical,0.6688195466995239,
Claude Sonnet 4.6,individual_papers,10.1007_s11238-015-9527-7,Non-empirical,0.6568856835365295,
Claude Sonnet 4.6,individual_papers,10.1007_s11238-016-9572-x,Empirical,0.6481438875198364,
Claude Sonnet 4.6,individual_papers,10.1007_s11238-021-09864-7,Empirical,0.6684936285018921,
Claude Sonnet 4.6,individual_papers,10.1007_s11238-022-09897-6,Empirical,0.6483651995658875,
Claude Sonnet 4.6,individual_papers,10.1007_s11238-023-09929-9,Empirical,0.6432797908782959,
Claude Sonnet 4.6,individual_papers,10.1007_s11238-023-09931-1,Empirical,0.5769513249397278,
Claude Sonnet 4.6,individual_papers,10.1007_s11238-024-09977-9,Empirical,0.6700862646102905,
Claude Sonnet 4.6,individual_papers,10.1007_s11245-014-9294-z,Non-empirical,0.6542906761169434,
Claude Sonnet 4.6,individual_papers,10.1007_s11269-017-1661-2,Non-empirical,0.6497593522071838,
Claude Sonnet 4.6,individual_papers,10.1007_s11284-006-0070-4,Non-empirical,0.6866303086280823,
Claude Sonnet 4.6,individual_papers,10.1007_s11284-006-0163-0,Non-empirical,0.6257591247558594,
Claude Sonnet 4.6,individual_papers,10.1007_s11284-013-1066-5,Non-empirical,0.6414739489555359,
Claude Sonnet 4.6,individual_papers,10.1007_s11403-007-0027-x,Non-empirical,0.628677487373352,
Claude Sonnet 4.6,individual_papers,10.1007_s11403-015-0146-8,Non-empirical,0.6767933964729309,
Claude Sonnet 4.6,individual_papers,10.1007_s11403-017-0195-2,Non-empirical,0.6832709312438965,
Claude Sonnet 4.6,individual_papers,10.1007_s11403-022-00363-8,Empirical,0.6812633275985718,
Claude Sonnet 4.6,individual_papers,10.1007_s11427-010-0007-6,Non-empirical,0.6734198331832886,
Claude Sonnet 4.6,individual_papers,10.1007_s11427-010-4016-2,Non-empirical,0.6719238758087158,
Claude Sonnet 4.6,individual_papers,10.1007_s11432-010-4145-z,Non-empirical,0.6647179126739502,
Claude Sonnet 4.6,individual_papers,10.1007_s11432-023-4170-3,Non-empirical,0.6297979950904846,
Claude Sonnet 4.6,individual_papers,10.1007_s11538-024-01344-7,Non-empirical,0.6634188890457153,
Claude Sonnet 4.6,individual_papers,10.1007_s11538-025-01422-4,Non-empirical,0.6559370756149292,
Claude Sonnet 4.6,individual_papers,10.1007_s11558-025-09594-3,Empirical,0.6379537582397461,
Claude Sonnet 4.6,individual_papers,10.1007_s11846-016-0209-9,Empirical,0.6722211241722107,
Claude Sonnet 4.6,individual_papers,10.1007_s12064-024-00432-5,Non-empirical,0.6885561943054199,
Claude Sonnet 4.6,individual_papers,10.1007_s12110-002-1012-7,Empirical,0.5823804140090942,
Claude Sonnet 4.6,individual_papers,10.1007_s12110-002-1016-3,Empirical,0.6488783955574036,
Claude Sonnet 4.6,individual_papers,10.1007_s12110-005-1000-9,Empirical,0.7167435884475708,
Claude Sonnet 4.6,individual_papers,10.1007_s12110-009-9072-6,Empirical,0.6788169741630554,
Claude Sonnet 4.6,individual_papers,10.1007_s12110-012-9136-x,Empirical,0.6567486524581909,
Claude Sonnet 4.6,individual_papers,10.1007_s12110-017-9298-7,Non-empirical,0.6709811091423035,
Claude Sonnet 4.6,individual_papers,10.1007_s12110-024-09483-5,Empirical,0.6304173469543457,
Claude Sonnet 4.6,individual_papers,10.1007_s12144-019-0129-3,Empirical,0.6644757986068726,
Claude Sonnet 4.6,individual_papers,10.1007_s12144-023-04746-3,Empirical,0.6670278906822205,
Claude Sonnet 4.6,individual_papers,10.1007_s12144-023-05029-7,Empirical,0.6654167175292969,
Claude Sonnet 4.6,individual_papers,10.1007_s12144-024-06961-y,Empirical,0.6817196011543274,
Claude Sonnet 4.6,individual_papers,10.1007_s13235-010-0001-4,Non-empirical,0.6962658762931824,
Claude Sonnet 4.6,individual_papers,10.1007_s13235-011-0020-9,Non-empirical,0.6387559175491333,
Claude Sonnet 4.6,individual_papers,10.1007_s13235-013-0094-7,Non-empirical,0.6691545844078064,
Claude Sonnet 4.6,individual_papers,10.1007_s13235-017-0230-x,Non-empirical,0.6383424997329712,
Claude Sonnet 4.6,individual_papers,10.1007_s13235-019-00339-7,Non-empirical,0.6690697073936462,
Claude Sonnet 4.6,individual_papers,10.1007_s13235-022-00485-5,Non-empirical,0.6141413450241089,
Claude Sonnet 4.6,individual_papers,10.1007_s13235-023-00533-8,Non-empirical,0.657770574092865,
Claude Sonnet 4.6,individual_papers,10.1007_s13235-025-00619-5,Non-empirical,0.6400575041770935,
Claude Sonnet 4.6,individual_papers,10.1007_s13280-019-01284-w,Non-empirical,0.6648532748222351,
Claude Sonnet 4.6,individual_papers,10.1007_s40305-021-00350-z,Non-empirical,0.6539140939712524,
Claude Sonnet 4.6,individual_papers,10.1007_s40503-016-0035-0,Empirical,0.6814712882041931,
Claude Sonnet 4.6,individual_papers,10.1007_s40750-020-00143-3,Empirical,0.6659825444221497,
Claude Sonnet 4.6,individual_papers,10.1007_s40822-020-00144-3,Empirical,0.6584844589233398,
Claude Sonnet 4.6,individual_papers,10.1007_s40888-022-00287-3,Empirical,0.64729905128479,
Claude Sonnet 4.6,individual_papers,10.1007_s42001-019-00049-5,Non-empirical,0.6336728930473328,
Claude Sonnet 4.6,individual_papers,10.1016_0162-3095(92)90032-y,Non-empirical,0.69591224193573,
Claude Sonnet 4.6,individual_papers,10.1016_0165-1889(94)00848-1,Non-empirical,0.6743234395980835,
Claude Sonnet 4.6,individual_papers,10.1016_0272-4944(95)90005-5,Non-empirical,0.709364652633667,
Claude Sonnet 4.6,individual_papers,10.1016_0303-2647(96)01604-8,Non-empirical,0.6554577350616455,
Claude Sonnet 4.6,individual_papers,10.1016_b978-0-12-404681-8.00010-8,Non-empirical,0.6685884594917297,
Claude Sonnet 4.6,individual_papers,10.1016_j.actpsy.2020.103055,Empirical,0.6864247918128967,
Claude Sonnet 4.6,individual_papers,10.1016_j.actpsy.2023.103957,Empirical,0.6535431742668152,
Claude Sonnet 4.6,individual_papers,10.1016_j.actpsy.2024.104608,Empirical,0.650511622428894,
Claude Sonnet 4.6,individual_papers,10.1016_j.actpsy.2025.105088,Empirical,0.6726246476173401,
Claude Sonnet 4.6,individual_papers,10.1016_j.agsy.2015.11.012,Empirical,0.6505150198936462,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2015.01.040,Non-empirical,0.6667224168777466,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2017.04.017,Non-empirical,0.6634592413902283,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2017.08.049,Non-empirical,0.6552947759628296,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2018.01.045,Non-empirical,0.6383275985717773,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2018.02.017,Non-empirical,0.6471839547157288,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2018.10.068,Non-empirical,0.6628462076187134,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2018.11.029,Non-empirical,0.6496177315711975,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2019.06.038,Non-empirical,0.6456530690193176,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2019.124798,Non-empirical,0.6846921443939209,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2019.124889,Non-empirical,0.6678957343101501,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2019.124945,Non-empirical,0.6753146648406982,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2020.125063,Empirical,0.6548761129379272,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2020.125250,Non-empirical,0.6399149298667908,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2020.125600,Non-empirical,0.6496525406837463,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2020.125698,Non-empirical,0.6828697919845581,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2020.125705,Non-empirical,0.6499109864234924,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2020.125835,Non-empirical,0.6777815818786621,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2021.126047,Non-empirical,0.6786697506904602,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2021.126074,Non-empirical,0.6689189672470093,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2021.126433,Non-empirical,0.6317314505577087,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2021.126586,Non-empirical,0.6124273538589478,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2021.126590,Non-empirical,0.6666244268417358,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2021.126624,Non-empirical,0.6340234875679016,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2021.126797,Non-empirical,0.6555811166763306,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2022.127069,Non-empirical,0.6650235056877136,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2022.127308,Non-empirical,0.6510682106018066,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2022.127567,Non-empirical,0.6752408742904663,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2022.127578,Non-empirical,0.6092481017112732,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2022.127612,Non-empirical,0.6740259528160095,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2022.127703,Non-empirical,0.6720389723777771,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2022.127723,Non-empirical,0.6899052262306213,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2022.127818,Non-empirical,0.6440207958221436,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2023.127853,Non-empirical,0.6095702648162842,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2023.128168,Non-empirical,0.6229836940765381,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2023.128172,Non-empirical,0.6852675676345825,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2023.128247,Non-empirical,0.6944670677185059,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2023.128350,Non-empirical,0.6395629644393921,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2023.128445,Non-empirical,0.6864911317825317,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2023.128484,Non-empirical,0.6420718431472778,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2024.128534,Non-empirical,0.6290653944015503,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2024.128553,Empirical,0.6482088565826416,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2024.128646,Non-empirical,0.6445978879928589,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2024.128745,Non-empirical,0.6596218943595886,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2024.128836,Empirical,0.604619562625885,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2024.128844,Non-empirical,0.6744714975357056,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2024.128864,Non-empirical,0.6677956581115723,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2024.129156,Non-empirical,0.6767308712005615,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2024.129249,Non-empirical,0.670544445514679,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2025.129309,Non-empirical,0.7095902562141418,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2025.129367,Non-empirical,0.6533654928207397,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2025.129381,Non-empirical,0.6626206040382385,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2025.129397,Non-empirical,0.6181164383888245,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2025.129545,Non-empirical,0.611033022403717,
Claude Sonnet 4.6,individual_papers,10.1016_j.amc.2025.129562,Non-empirical,0.6951494812965393,
Claude Sonnet 4.6,individual_papers,10.1016_j.anbehav.2023.08.014,Empirical,0.6628764271736145,
Claude Sonnet 4.6,individual_papers,10.1016_j.asej.2022.102006,Non-empirical,0.6597885489463806,
Claude Sonnet 4.6,individual_papers,10.1016_j.bandc.2012.09.009,Non-empirical,0.6548958420753479,
Claude Sonnet 4.6,individual_papers,10.1016_j.beproc.2012.06.001,Empirical,0.6655868291854858,
Claude Sonnet 4.6,individual_papers,10.1016_j.biosystems.2018.10.015,Non-empirical,0.6959965229034424,
Claude Sonnet 4.6,individual_papers,10.1016_j.biosystems.2024.105362,Non-empirical,0.7076059579849243,
