kind,repeat,model_a,model_b,n_items,observed_spearman
papers,rep4,GPT-4.1 Mini,GPT-5 Mini,1991,0.257008699413473
papers,rep4,GPT-4.1,GPT-5 Nano,1991,0.19292721447572445
papers,rep4,GPT-4.1,GPT-5 Mini,1991,0.2660186552547641
papers,rep4,GPT-5 Nano,GPT-5 Mini,1991,0.19820203022161553
papers,rep5,GPT-5.1,GPT-4.1 Mini,1992,0.11244042171803523
papers,rep5,GPT-5.1,GPT-4.1,1992,0.15626990057621704
papers,rep5,GPT-5.1,GPT-5 Nano,1992,0.12541798123266718
papers,rep5,GPT-5.1,GPT-5 Mini,1992,0.12163258727732729
papers,rep5,GPT-4.1 Mini,GPT-4.1,1992,0.2740149630316877
papers,rep5,GPT-4.1 Mini,GPT-5 Nano,1992,0.20079093921138605
papers,rep5,GPT-4.1 Mini,GPT-5 Mini,1992,0.19131958822507977
papers,rep5,GPT-4.1,GPT-5 Nano,1992,0.19137656548265763
papers,rep5,GPT-4.1,GPT-5 Mini,1992,0.19119714884018488
papers,rep5,GPT-5 Nano,GPT-5 Mini,1992,0.19547520948137023
collections,rep1,GPT-5.1,GPT-4.1 Mini,713,0.2489189749159109
collections,rep1,GPT-5.1,GPT-4.1,713,0.2754985859658758
collections,rep1,GPT-5.1,GPT-5 Nano,713,0.1588686051873293
collections,rep1,GPT-5.1,GPT-5 Mini,713,0.2605146986031789
collections,rep1,GPT-4.1 Mini,GPT-4.1,713,0.4351302057948392
collections,rep1,GPT-4.1 Mini,GPT-5 Nano,713,0.20889829193013368
collections,rep1,GPT-4.1 Mini,GPT-5 Mini,713,0.22334854462004747
collections,rep1,GPT-4.1,GPT-5 Nano,713,0.21678543949809753
collections,rep1,GPT-4.1,GPT-5 Mini,713,0.24461980207226713
collections,rep1,GPT-5 Nano,GPT-5 Mini,713,0.14229957486127284
collections,rep2,GPT-5.1,GPT-4.1 Mini,714,0.22569619516192405
collections,rep2,GPT-5.1,GPT-4.1,714,0.32504481083237863
collections,rep2,GPT-5.1,GPT-5 Nano,714,0.16205710996488426
collections,rep2,GPT-5.1,GPT-5 Mini,714,0.21018943106229632
collections,rep2,GPT-4.1 Mini,GPT-4.1,714,0.4479893671495461
collections,rep2,GPT-4.1 Mini,GPT-5 Nano,714,0.2094694399596605
collections,rep2,GPT-4.1 Mini,GPT-5 Mini,714,0.22253806291947578
collections,rep2,GPT-4.1,GPT-5 Nano,714,0.1802129204528902
collections,rep2,GPT-4.1,GPT-5 Mini,714,0.2460845793983232
collections,rep2,GPT-5 Nano,GPT-5 Mini,714,0.16520944037555613
collections,rep3,GPT-5.1,GPT-4.1 Mini,714,0.2434055178383204
collections,rep3,GPT-5.1,GPT-4.1,714,0.2657122211171312
collections,rep3,GPT-5.1,GPT-5 Nano,714,0.18307705774997468
collections,rep3,GPT-5.1,GPT-5 Mini,714,0.24828835258700832
collections,rep3,GPT-4.1 Mini,GPT-4.1,714,0.3728637920138982
collections,rep3,GPT-4.1 Mini,GPT-5 Nano,714,0.16758657827735707
collections,rep3,GPT-4.1 Mini,GPT-5 Mini,714,0.22403147734232168
collections,rep3,GPT-4.1,GPT-5 Nano,714,0.1927661920153721
collections,rep3,GPT-4.1,GPT-5 Mini,714,0.25236576875124606
collections,rep3,GPT-5 Nano,GPT-5 Mini,714,0.1072551838343467
collections,rep4,GPT-5.1,GPT-4.1 Mini,715,0.3065168835971528
collections,rep4,GPT-5.1,GPT-4.1,715,0.3282287438903725
collections,rep4,GPT-5.1,GPT-5 Nano,715,0.17690562874213395
collections,rep4,GPT-5.1,GPT-5 Mini,715,0.23086671979734627
collections,rep4,GPT-4.1 Mini,GPT-4.1,715,0.4516474758585521
collections,rep4,GPT-4.1 Mini,GPT-5 Nano,715,0.17976796508624762
collections,rep4,GPT-4.1 Mini,GPT-5 Mini,715,0.2686279543657132
collections,rep4,GPT-4.1,GPT-5 Nano,715,0.22669970015497498
collections,rep4,GPT-4.1,GPT-5 Mini,715,0.3069115668020091
collections,rep4,GPT-5 Nano,GPT-5 Mini,715,0.16369802697377892
collections,rep5,GPT-5.1,GPT-4.1 Mini,714,0.24153605655131927
collections,rep5,GPT-5.1,GPT-4.1,714,0.2749595889102812
collections,rep5,GPT-5.1,GPT-5 Nano,714,0.24087785912419318
collections,rep5,GPT-5.1,GPT-5 Mini,714,0.2680850398515356
collections,rep5,GPT-4.1 Mini,GPT-4.1,714,0.3930455631044699
collections,rep5,GPT-4.1 Mini,GPT-5 Nano,714,0.18074036014770362
collections,rep5,GPT-4.1 Mini,GPT-5 Mini,714,0.2070555317717142
collections,rep5,GPT-4.1,GPT-5 Nano,714,0.17698448995542287
collections,rep5,GPT-4.1,GPT-5 Mini,714,0.3218576208617377
collections,rep5,GPT-5 Nano,GPT-5 Mini,714,0.18758784022742173
