dataset,scope,scope_name,target,target_label,model_name,n_rows,n_groups,cv_r2,cv_spearman,mean_fold_r2,mean_fold_spearman,sd_fold_r2,sd_fold_spearman,repeat
individual_papers,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,2011,2011,0.09212730274153536,0.29822586580053745,0.09188472211635798,0.3003943096302303,0.022233867265920127,0.04943537415810065,rep3
individual_papers,within_model,GPT-5 Mini,correlation,Correlation,ridge,2010,2010,0.03535065119137748,0.207766909386049,0.032460152430868014,0.20907142541937462,0.012390931841271213,0.03344874400124464,rep3
individual_papers,within_model,GPT-5 Nano,correlation,Correlation,ridge,1992,1992,0.019542881087515673,0.12403699347263068,0.018903722967714143,0.13121164853617767,0.012199429474409869,0.04926213106155004,rep3
individual_papers,within_model,GPT-5.1,correlation,Correlation,ridge,2011,2011,0.024895217123027336,0.15655718272431726,0.0250176770845185,0.16568844453896783,0.025295829774847452,0.06958971316828942,rep3
metadata_filter_collections,within_model,GPT-4.1,correlation,Correlation,extra_trees,715,715,0.10363462613675001,0.3339509955070113,0.09891522566389459,0.3305943282715927,0.03689917891259399,0.013945362710104313,rep3
metadata_filter_collections,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,716,716,0.09320078848535429,0.29257766618977865,0.08073824418580296,0.3066703686470563,0.04910720500388546,0.04490880863158685,rep3
metadata_filter_collections,within_model,GPT-5 Mini,correlation,Correlation,gradient_boosting,716,716,0.07782403121892223,0.1602306853849197,0.07024603908389278,0.1612562454883423,0.0597464796464642,0.04246331949924857,rep3
metadata_filter_collections,within_model,GPT-5 Nano,correlation,Correlation,random_forest,715,715,0.006717412548611246,0.177663970902299,0.007477424816763079,0.18179843044954166,0.04259859352995487,0.07013682847161916,rep3
metadata_filter_collections,within_model,GPT-5.1,correlation,Correlation,gradient_boosting,716,716,0.030060660090296065,0.2142879636200821,0.023547547218439924,0.21195079549356355,0.03098535915612399,0.06340847387303267,rep3
individual_papers,within_model,GPT-4.1,correlation,Correlation,ridge,2011,2011,0.012172890086155963,0.11993869154321975,0.011749008011892692,0.12361507472446445,0.0056299546484219675,0.031238398890554624,rep4
individual_papers,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,2011,2011,0.08628593750024771,0.2967099334546451,0.0877779090612284,0.29758689644222586,0.03044361523074209,0.017901511562053787,rep4
individual_papers,within_model,GPT-5 Mini,correlation,Correlation,ridge,2009,2009,0.028393143106584473,0.1853204543814363,0.026537145555083817,0.18715340838635378,0.016749156277591312,0.053727214724540305,rep4
individual_papers,within_model,GPT-5 Nano,correlation,Correlation,ridge,1991,1991,0.008113868731969176,0.07370001559564356,0.006394005236877232,0.0834328351002352,0.006648528825867181,0.044806820711011365,rep4
individual_papers,within_model,GPT-5.1,correlation,Correlation,ridge,2011,2011,0.011938306376970687,0.11461291188431624,0.009681941359158874,0.12333455439553984,0.004859564974406327,0.020191740101059882,rep4
metadata_filter_collections,within_model,GPT-4.1,correlation,Correlation,random_forest,715,715,0.1216124354512711,0.31547556671586546,0.11483381471181513,0.31762278235319863,0.03970495622699708,0.0038725875283867005,rep4
metadata_filter_collections,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,716,716,0.09568012991069519,0.3009125865210128,0.09176874042427241,0.31928916315997424,0.05417054297911049,0.10109562439289005,rep4
metadata_filter_collections,within_model,GPT-5 Mini,correlation,Correlation,random_forest,716,716,0.06334863380329558,0.12384053017981261,0.06696092872859441,0.12867023619087728,0.057550048673762726,0.05880520412537152,rep4
metadata_filter_collections,within_model,GPT-5 Nano,correlation,Correlation,dummy_mean,716,716,-0.000813744216996426,-0.01889723849449019,-0.0023520129717074846,,0.0031098029480211525,0.0,rep4
metadata_filter_collections,within_model,GPT-5.1,correlation,Correlation,gradient_boosting,716,716,0.06562893897589794,0.23826139927699258,0.05765026520355114,0.24877940026225173,0.06832447077563068,0.10431410452642267,rep4
individual_papers,within_model,GPT-4.1,correlation,Correlation,ridge,2011,2011,0.025082303458306643,0.14715406562766195,0.024939255401483673,0.15265495610669916,0.011001788625288859,0.03676572186330863,rep5
individual_papers,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,2011,2011,0.11011419583437676,0.33863193835009625,0.10900109715310342,0.34101417320667454,0.028124411664229163,0.02172213026967148,rep5
individual_papers,within_model,GPT-5 Mini,correlation,Correlation,ridge,2009,2009,0.020282121148783472,0.17764657233646758,0.017944481805742308,0.18481182633182502,0.016877842712569667,0.04193173934135553,rep5
individual_papers,within_model,GPT-5 Nano,correlation,Correlation,ridge,1996,1996,0.016150219780141417,0.12228379123644709,0.016122908098812384,0.12861794648889155,0.007073747455200562,0.03395343589230888,rep5
individual_papers,within_model,GPT-5.1,correlation,Correlation,ridge,2009,2009,0.01435027747263573,0.13042338360969188,0.013220178850119946,0.13914573270114006,0.014288748837607786,0.04717675559425047,rep5
metadata_filter_collections,within_model,GPT-4.1,correlation,Correlation,ridge,715,715,0.0881017485521094,0.2972042614151429,0.08358867483041736,0.29184842227486857,0.021838664824348625,0.059449046234943424,rep5
metadata_filter_collections,within_model,GPT-4.1 Mini,correlation,Correlation,ridge,716,716,0.09141834381271652,0.32534054416795166,0.0885503927773045,0.32999554517038726,0.054673775728647386,0.10568769885042342,rep5
metadata_filter_collections,within_model,GPT-5 Mini,correlation,Correlation,random_forest,716,716,0.03671596087021267,0.11039326851009673,0.03207804046821634,0.10775144603225613,0.0544338149968291,0.0490007312851755,rep5
metadata_filter_collections,within_model,GPT-5 Nano,correlation,Correlation,random_forest,715,715,0.02200519882907681,0.1526831364178977,-0.012439327056710936,0.16229932085186088,0.10699431399035472,0.025867825488975763,rep5
metadata_filter_collections,within_model,GPT-5.1,correlation,Correlation,random_forest,716,716,0.0497292719395771,0.19387412026639925,0.03492450741950013,0.21163433943424229,0.06900379123041377,0.10197987547281837,rep5
