item_type,model,feature_key,feature_label,coef,ci_low,ci_high,n,repeat
Individual papers,GPT-5 Nano,multidisciplinary_share,Multidisciplinary Journals,0.004425677643274606,0.0007360226317494643,0.009110948394773919,1998,rep1
Individual papers,GPT-4.1,journal_impact,Journal Impact Factor,0.0015032734284559934,-0.00029918821846746605,0.004673528028348612,2011,rep2
Individual papers,GPT-4.1,citation,Citation,0.0009024707787032905,-0.0009601140519884103,0.0035324211315162055,2011,rep2
Individual papers,GPT-4.1,empirical_share,Empirical papers,-0.002352129779945925,-0.0056511756729727535,-0.0005221490647140724,2011,rep2
Individual papers,GPT-4.1,recent,Publication Year,0.00033280535235052873,-0.002416851594558378,0.0031373309156647183,2011,rep2
Individual papers,GPT-4.1,biology_share,Biology Journals,-0.0004945556611891807,-0.0038639424222087445,0.001229056131496279,2011,rep2
Individual papers,GPT-4.1,economics_share,Economics Journals,-0.0015767873409674356,-0.004537677832775057,0.00015313350991386638,2011,rep2
Individual papers,GPT-4.1,psychology_share,Psychology Journals,-0.0016437804783863612,-0.00557679934648747,0.0001637178326499047,2011,rep2
Individual papers,GPT-4.1,mathphysics_share,Math/Physics Journals,0.00010942289550725197,-0.0034173602109585665,0.0016631860891505774,2011,rep2
Individual papers,GPT-4.1,multidisciplinary_share,Multidisciplinary Journals,-0.0014777226820608769,-0.005480312229010784,-0.00012226185322442305,2011,rep2
Individual papers,GPT-4.1 Mini,journal_impact,Journal Impact Factor,0.0016405565429124796,-0.002342674461449879,0.005399802694092281,2011,rep2
Individual papers,GPT-4.1 Mini,citation,Citation,-0.0043714504734190815,-0.008854579270568038,-0.0006129168010117203,2011,rep2
Individual papers,GPT-4.1 Mini,empirical_share,Empirical papers,-0.012102264296716566,-0.015256641393800664,-0.008180937273154564,2011,rep2
Individual papers,GPT-4.1 Mini,recent,Publication Year,-0.0036660563147849247,-0.006838514974093589,-0.00010474658469467949,2011,rep2
Individual papers,GPT-4.1 Mini,biology_share,Biology Journals,0.001593736362595167,-0.0011621770902599461,0.004269224741518719,2011,rep2
Individual papers,GPT-4.1 Mini,economics_share,Economics Journals,-0.007270989929210137,-0.01159579670051539,-0.003771291908385033,2011,rep2
Individual papers,GPT-4.1 Mini,psychology_share,Psychology Journals,0.0019810462633754354,-0.001317945044023568,0.0048729832549705785,2011,rep2
Individual papers,GPT-4.1 Mini,mathphysics_share,Math/Physics Journals,-0.0013876515474176639,-0.005294933375724063,0.001967362566436096,2011,rep2
Individual papers,GPT-4.1 Mini,multidisciplinary_share,Multidisciplinary Journals,-0.0009996833642579542,-0.004101304165516218,0.002151573404608524,2011,rep2
Individual papers,GPT-5.1,journal_impact,Journal Impact Factor,0.0028296006251623596,-0.0009844265496840477,0.008452606379323106,2011,rep2
Individual papers,GPT-5.1,citation,Citation,-0.006171894003749451,-0.013972098354638666,-0.0016351191336867394,2011,rep2
Individual papers,GPT-5.1,empirical_share,Empirical papers,-0.010061792609277774,-0.017090437828556536,-0.005072371539630642,2011,rep2
Individual papers,GPT-5.1,recent,Publication Year,-0.003292370233377608,-0.008966232134801588,0.0007530278835321776,2011,rep2
Individual papers,GPT-5.1,biology_share,Biology Journals,0.003547280149885436,-0.0004934721737227707,0.008054455119308232,2011,rep2
Individual papers,GPT-5.1,economics_share,Economics Journals,0.0014843330324048444,-0.0032633972062257543,0.006913165612804806,2011,rep2
Individual papers,GPT-5.1,psychology_share,Psychology Journals,0.0002741132808888771,-0.004149903664869954,0.004558124804465751,2011,rep2
Individual papers,GPT-5.1,mathphysics_share,Math/Physics Journals,-0.004300931478783182,-0.009972989195878586,-3.1830749945149504e-05,2011,rep2
Individual papers,GPT-5.1,multidisciplinary_share,Multidisciplinary Journals,-0.0006045506885479404,-0.0053019407713845446,0.0033116872635458303,2011,rep2
Individual papers,GPT-5 Mini,journal_impact,Journal Impact Factor,-0.0004221248509001584,-0.004006778638555277,0.0035004884713587064,2007,rep2
Individual papers,GPT-5 Mini,citation,Citation,-0.003068748547391799,-0.007275850947536327,0.000208057893762186,2007,rep2
Individual papers,GPT-5 Mini,empirical_share,Empirical papers,-0.008567563465579308,-0.013920957256524182,-0.004091116446644283,2007,rep2
Individual papers,GPT-5 Mini,recent,Publication Year,-0.0014660845042594377,-0.005685920848266039,0.002068537027835395,2007,rep2
Individual papers,GPT-5 Mini,biology_share,Biology Journals,0.003334454501344432,0.0007799756273667213,0.0060013722376858905,2007,rep2
Individual papers,GPT-5 Mini,economics_share,Economics Journals,-0.002861662925574592,-0.006782119790531399,0.0009982821689076605,2007,rep2
Individual papers,GPT-5 Mini,psychology_share,Psychology Journals,0.0004572605190722263,-0.0026117935141679884,0.00320396767608968,2007,rep2
Individual papers,GPT-5 Mini,mathphysics_share,Math/Physics Journals,-0.002438658889576386,-0.0070664110427310824,0.0005840616053242226,2007,rep2
Individual papers,GPT-5 Mini,multidisciplinary_share,Multidisciplinary Journals,-0.0014282210893126082,-0.005612681481590901,0.0013424170846528826,2007,rep2
Individual papers,GPT-5 Nano,journal_impact,Journal Impact Factor,0.00035188687915273036,-0.0029368160097267264,0.0036697193699745203,1986,rep2
Individual papers,GPT-5 Nano,citation,Citation,-0.0016158028218663102,-0.006906767014237735,0.001221559263934622,1986,rep2
Individual papers,GPT-5 Nano,empirical_share,Empirical papers,-0.00409351276965329,-0.009066252967085183,-0.0014716333361536314,1986,rep2
Individual papers,GPT-5 Nano,recent,Publication Year,-0.0010280486867558492,-0.005002530438598553,0.001427378103123486,1986,rep2
Individual papers,GPT-5 Nano,biology_share,Biology Journals,0.002539541563408175,2.9182809312542705e-05,0.0061087883156177684,1986,rep2
Individual papers,GPT-5 Nano,economics_share,Economics Journals,-0.0033209882362414027,-0.008153425595425055,-0.000559683174983075,1986,rep2
Individual papers,GPT-5 Nano,psychology_share,Psychology Journals,0.0017982200686982126,-0.0010765333517053892,0.005655220040776602,1986,rep2
Individual papers,GPT-5 Nano,mathphysics_share,Math/Physics Journals,-0.001988529583700795,-0.007306109969491191,0.00025809932999065483,1986,rep2
Individual papers,GPT-5 Nano,multidisciplinary_share,Multidisciplinary Journals,0.0007880501648951344,-0.002077937251547378,0.0037949758280759853,1986,rep2
Individual papers,GPT-4.1,journal_impact,Journal Impact Factor,-0.0003310746220191639,-0.002479888672224385,0.001601606482605876,2010,rep3
Individual papers,GPT-4.1,citation,Citation,-0.0007619728627756673,-0.0035665924914941353,0.0009270096546972876,2010,rep3
Individual papers,GPT-4.1,empirical_share,Empirical papers,-0.003154748894143014,-0.006823947312423025,-0.0014021570821609961,2010,rep3
Individual papers,GPT-4.1,recent,Publication Year,-0.0002352896217075209,-0.0032517676764193195,0.0023139488116276246,2010,rep3
Individual papers,GPT-4.1,biology_share,Biology Journals,-0.0002054662338753999,-0.003081205352211261,0.001616761681002593,2010,rep3
Individual papers,GPT-4.1,economics_share,Economics Journals,-0.0025317738072182672,-0.00614584505928891,-0.0008393116120997074,2010,rep3
Individual papers,GPT-4.1,psychology_share,Psychology Journals,-0.0006124938112328542,-0.0032714152114669756,0.0008527557210638892,2010,rep3
Individual papers,GPT-4.1,mathphysics_share,Math/Physics Journals,0.00047050090419842723,-0.003407192982151966,0.0022388148203021426,2010,rep3
Individual papers,GPT-4.1,multidisciplinary_share,Multidisciplinary Journals,-0.0007596845701061677,-0.003973044791279801,0.0006749532561152827,2010,rep3
Individual papers,GPT-4.1 Mini,journal_impact,Journal Impact Factor,0.001776318485693511,-0.0015692397144352382,0.006099112118766248,2011,rep3
Individual papers,GPT-4.1 Mini,citation,Citation,-0.005673216189408539,-0.011516035680010661,-0.0019062853861677668,2011,rep3
Individual papers,GPT-4.1 Mini,empirical_share,Empirical papers,-0.006371310903236631,-0.010384380180780417,-0.003194576576839931,2011,rep3
Individual papers,GPT-4.1 Mini,recent,Publication Year,-0.002789388624131434,-0.007182285376744202,0.0003727653319397637,2011,rep3
Individual papers,GPT-4.1 Mini,biology_share,Biology Journals,-0.00031922438296487135,-0.0040693758423452405,0.00290045694407972,2011,rep3
Individual papers,GPT-4.1 Mini,economics_share,Economics Journals,-0.00617786930399738,-0.010800755922511417,-0.0023344115117185016,2011,rep3
Individual papers,GPT-4.1 Mini,psychology_share,Psychology Journals,0.0013035279421575836,-0.0022243451667104627,0.0042761593390268915,2011,rep3
Individual papers,GPT-4.1 Mini,mathphysics_share,Math/Physics Journals,8.82292065590957e-05,-0.004449283306099116,0.00353725518525729,2011,rep3
Individual papers,GPT-4.1 Mini,multidisciplinary_share,Multidisciplinary Journals,-0.0016358282729123919,-0.005949988870912284,0.0016685818639005747,2011,rep3
Individual papers,GPT-5.1,journal_impact,Journal Impact Factor,0.0036769538395943174,-0.0003712346769715338,0.009338828376529398,2011,rep3
Individual papers,GPT-5.1,citation,Citation,-0.006657864111193805,-0.01414840023564453,-0.0021343706171373157,2011,rep3
Individual papers,GPT-5.1,empirical_share,Empirical papers,-0.010880056584247962,-0.017007323799919722,-0.0060576356421332515,2011,rep3
Individual papers,GPT-5.1,recent,Publication Year,-0.00335118185905747,-0.00967557657295806,0.001272241947717232,2011,rep3
Individual papers,GPT-5.1,biology_share,Biology Journals,0.003375282769039867,-0.0005630885147336889,0.008007951179139524,2011,rep3
Individual papers,GPT-5.1,economics_share,Economics Journals,0.003030374609367418,-0.000891835327246572,0.009545270162374265,2011,rep3
Individual papers,GPT-5.1,psychology_share,Psychology Journals,-0.0010384826121373713,-0.0052981398500736845,0.003646721586768006,2011,rep3
Individual papers,GPT-5.1,mathphysics_share,Math/Physics Journals,-0.003172462748072941,-0.0089842715501498,0.000653642352370871,2011,rep3
Individual papers,GPT-5.1,multidisciplinary_share,Multidisciplinary Journals,0.0013388451251413248,-0.0037040731951953074,0.006050028646808128,2011,rep3
Individual papers,GPT-5 Mini,journal_impact,Journal Impact Factor,-0.0006016764173499365,-0.004013126101188649,0.003101476967704732,2010,rep3
Individual papers,GPT-5 Mini,citation,Citation,-0.0018727560605448757,-0.006377254840975698,0.0027768622519682156,2010,rep3
Individual papers,GPT-5 Mini,empirical_share,Empirical papers,-0.011875054738491115,-0.017791460463677227,-0.006786673162721456,2010,rep3
Individual papers,GPT-5 Mini,recent,Publication Year,-0.0018229844171949526,-0.005802784185594789,0.001824988628005144,2010,rep3
Individual papers,GPT-5 Mini,biology_share,Biology Journals,0.0017007517704444792,-0.0014508079983161183,0.004877296683710373,2010,rep3
Individual papers,GPT-5 Mini,economics_share,Economics Journals,-0.003099162314446798,-0.0077700861641847654,0.0011986777146993858,2010,rep3
Individual papers,GPT-5 Mini,psychology_share,Psychology Journals,0.001710447995699938,-0.0014744617569310385,0.005452918341978741,2010,rep3
Individual papers,GPT-5 Mini,mathphysics_share,Math/Physics Journals,-0.0012189912102016343,-0.005970227498388034,0.002268491967217439,2010,rep3
Individual papers,GPT-5 Mini,multidisciplinary_share,Multidisciplinary Journals,0.0009556198247611344,-0.002826886143115571,0.0045941362829247994,2010,rep3
Individual papers,GPT-5 Nano,journal_impact,Journal Impact Factor,-0.0006319220254787485,-0.0041606808489324945,0.002853441502457144,1992,rep3
Individual papers,GPT-5 Nano,citation,Citation,-0.001686106228538989,-0.007536181323323042,0.0006978739289040529,1992,rep3
Individual papers,GPT-5 Nano,empirical_share,Empirical papers,-0.0031618013760487456,-0.007855379036674026,-0.0005627306274365474,1992,rep3
Individual papers,GPT-5 Nano,recent,Publication Year,-0.0027139163410320214,-0.009005797594067397,-0.00018935083592333687,1992,rep3
Individual papers,GPT-5 Nano,biology_share,Biology Journals,0.0007461434326818812,-0.003085177923225795,0.003523756391098183,1992,rep3
Individual papers,GPT-5 Nano,economics_share,Economics Journals,-0.003936785988924046,-0.008691430245084982,-0.0015090759522180255,1992,rep3
Individual papers,GPT-5 Nano,psychology_share,Psychology Journals,0.0028642444878546423,-0.0002144102487455433,0.006740413267129224,1992,rep3
Individual papers,GPT-5 Nano,mathphysics_share,Math/Physics Journals,-0.0007692097357210393,-0.0053632514610761255,0.0015734468547126742,1992,rep3
Individual papers,GPT-5 Nano,multidisciplinary_share,Multidisciplinary Journals,0.00035512026486646123,-0.003110947237860627,0.0034542951616390156,1992,rep3
Individual papers,GPT-4.1,journal_impact,Journal Impact Factor,0.0008857975381777706,-0.0011555347481824092,0.0036672399248621193,2011,rep4
Individual papers,GPT-4.1,citation,Citation,-0.0002102887774547652,-0.002663644326870214,0.0013637531882364994,2011,rep4
Individual papers,GPT-4.1,empirical_share,Empirical papers,-0.002385519696750725,-0.005395009608381287,-0.0007374272970490865,2011,rep4
Individual papers,GPT-4.1,recent,Publication Year,-0.0004692540188009558,-0.0031580748268426684,0.0014186368607166458,2011,rep4
Individual papers,GPT-4.1,biology_share,Biology Journals,0.0005922120523452182,-0.0015193428673388595,0.002162333725858014,2011,rep4
Individual papers,GPT-4.1,economics_share,Economics Journals,-0.0022420551159927356,-0.005552907590552104,-0.0007152634675306927,2011,rep4
Individual papers,GPT-4.1,psychology_share,Psychology Journals,-0.0003641062070322661,-0.002841963470725811,0.0009980905849260883,2011,rep4
Individual papers,GPT-4.1,mathphysics_share,Math/Physics Journals,0.00043285391667669486,-0.0023290361755642077,0.0018286018934274375,2011,rep4
Individual papers,GPT-4.1,multidisciplinary_share,Multidisciplinary Journals,-0.0009976427014147383,-0.0039054019286904355,0.00044797676460209355,2011,rep4
Individual papers,GPT-4.1 Mini,journal_impact,Journal Impact Factor,0.0017593032711802545,-0.0014754547146517973,0.006614883871007637,2011,rep4
Individual papers,GPT-4.1 Mini,citation,Citation,-0.005010032690428847,-0.010515943387829966,-0.0016924823185879086,2011,rep4
Individual papers,GPT-4.1 Mini,empirical_share,Empirical papers,-0.010009360595534289,-0.015075525204744719,-0.007025613127663064,2011,rep4
Individual papers,GPT-4.1 Mini,recent,Publication Year,-0.0038777934312423535,-0.008157055610936633,-0.0014594436492685213,2011,rep4
Individual papers,GPT-4.1 Mini,biology_share,Biology Journals,0.0009529259511623662,-0.003013402335632633,0.004126503693567557,2011,rep4
Individual papers,GPT-4.1 Mini,economics_share,Economics Journals,-0.007062910043321703,-0.012194507273195697,-0.003761440383866467,2011,rep4
Individual papers,GPT-4.1 Mini,psychology_share,Psychology Journals,0.0021525583614389046,-0.0011138107855473537,0.0058912705478664845,2011,rep4
Individual papers,GPT-4.1 Mini,mathphysics_share,Math/Physics Journals,-0.00038921740494756867,-0.005203238348553041,0.002582514620022402,2011,rep4
Individual papers,GPT-4.1 Mini,multidisciplinary_share,Multidisciplinary Journals,6.020514352177699e-05,-0.0044883618109958015,0.003701001238811874,2011,rep4
Individual papers,GPT-5.1,journal_impact,Journal Impact Factor,0.0033680212581275694,-0.0006434513878263925,0.009320545721973852,2011,rep4
Individual papers,GPT-5.1,citation,Citation,-0.005541237046751789,-0.012221397471170745,-0.0005991663952808961,2011,rep4
Individual papers,GPT-5.1,empirical_share,Empirical papers,-0.00794879630331801,-0.013832428117521943,-0.0030331402998213016,2011,rep4
Individual papers,GPT-5.1,recent,Publication Year,-0.004900886661047398,-0.01201892374017259,-0.000353461808699093,2011,rep4
Individual papers,GPT-5.1,biology_share,Biology Journals,0.0015460102693191189,-0.0026275063725012876,0.0058917880085038255,2011,rep4
Individual papers,GPT-5.1,economics_share,Economics Journals,0.0006254457825035294,-0.004559998891619812,0.005634626405956058,2011,rep4
Individual papers,GPT-5.1,psychology_share,Psychology Journals,-0.0004951298112167372,-0.0048292528198446705,0.0036786294984765514,2011,rep4
Individual papers,GPT-5.1,mathphysics_share,Math/Physics Journals,-0.003770017326020693,-0.008939911082077024,0.00051190130106735,2011,rep4
Individual papers,GPT-5.1,multidisciplinary_share,Multidisciplinary Journals,-0.004902176125006839,-0.010064659743151762,-0.00045493364807186394,2011,rep4
Individual papers,GPT-5 Mini,journal_impact,Journal Impact Factor,-0.0003503236774199644,-0.003927689599735307,0.0034435331485879695,2009,rep4
Individual papers,GPT-5 Mini,citation,Citation,-0.0007284179166050538,-0.004746742130945512,0.0023812987966906163,2009,rep4
Individual papers,GPT-5 Mini,empirical_share,Empirical papers,-0.010687123902344001,-0.01655415104963041,-0.006893447005185855,2009,rep4
Individual papers,GPT-5 Mini,recent,Publication Year,-0.0005897472960359418,-0.003603278151501829,0.0028881867760926242,2009,rep4
Individual papers,GPT-5 Mini,biology_share,Biology Journals,0.003540863870247432,0.0005467606202761695,0.0067308119633836165,2009,rep4
Individual papers,GPT-5 Mini,economics_share,Economics Journals,-0.001895197255878573,-0.005174128530848715,0.002277905984209392,2009,rep4
Individual papers,GPT-5 Mini,psychology_share,Psychology Journals,0.002783971958910137,-0.0004576182143696377,0.0063912777724145975,2009,rep4
Individual papers,GPT-5 Mini,mathphysics_share,Math/Physics Journals,-0.0034046804973806807,-0.008464690346015743,0.00013796207051258998,2009,rep4
Individual papers,GPT-5 Mini,multidisciplinary_share,Multidisciplinary Journals,0.0006398571506493568,-0.00302780245437097,0.0038816691293723773,2009,rep4
Individual papers,GPT-5 Nano,journal_impact,Journal Impact Factor,-0.0006123111519187803,-0.003180622561481204,0.0024276341034616404,1991,rep4
Individual papers,GPT-5 Nano,citation,Citation,-0.0012761457495270685,-0.005536055683377658,0.0007223535063515739,1991,rep4
Individual papers,GPT-5 Nano,empirical_share,Empirical papers,-0.002404299655976226,-0.00611282893493596,-0.00022480456590505163,1991,rep4
Individual papers,GPT-5 Nano,recent,Publication Year,-0.0017420627777857375,-0.005576644145925085,0.0004975184281780188,1991,rep4
Individual papers,GPT-5 Nano,biology_share,Biology Journals,0.0013770757232560368,-0.0012279248275895527,0.003829040411693253,1991,rep4
Individual papers,GPT-5 Nano,economics_share,Economics Journals,-0.0020505651544055303,-0.005754008923634319,0.00039030343160151364,1991,rep4
Individual papers,GPT-5 Nano,psychology_share,Psychology Journals,0.001157041036258704,-0.0019480541123890938,0.003594888671723446,1991,rep4
Individual papers,GPT-5 Nano,mathphysics_share,Math/Physics Journals,-0.0008344462619503968,-0.00535468811677577,0.0017015844579780632,1991,rep4
Individual papers,GPT-5 Nano,multidisciplinary_share,Multidisciplinary Journals,-0.0006122619894835413,-0.004407210556154324,0.0019852496734375363,1991,rep4
Individual papers,GPT-4.1,journal_impact,Journal Impact Factor,0.0006418925125056277,-0.0016551494058063458,0.0030990519372571853,2011,rep5
Individual papers,GPT-4.1,citation,Citation,0.00028016927545327616,-0.0015613296236697198,0.0025774060803461147,2011,rep5
Individual papers,GPT-4.1,empirical_share,Empirical papers,-0.0027909635323656564,-0.005696888305550089,-0.0012085625164407823,2011,rep5
Individual papers,GPT-4.1,recent,Publication Year,0.0011754580846459555,-0.000253212285958184,0.003841539695373744,2011,rep5
Individual papers,GPT-4.1,biology_share,Biology Journals,0.0012723905483129326,-0.000523262182555395,0.0028999248738071407,2011,rep5
Individual papers,GPT-4.1,economics_share,Economics Journals,-0.0026630338004132326,-0.005778637029873986,-0.0010671804102714666,2011,rep5
Individual papers,GPT-4.1,psychology_share,Psychology Journals,-0.001280380137106359,-0.0036102396720168704,0.00022075287524413103,2011,rep5
Individual papers,GPT-4.1,mathphysics_share,Math/Physics Journals,0.0013075005233551401,-0.0011576292409314795,0.002896610726389865,2011,rep5
Individual papers,GPT-4.1,multidisciplinary_share,Multidisciplinary Journals,-0.0009456343484765786,-0.00387881953376081,0.0005286768051254029,2011,rep5
Individual papers,GPT-4.1 Mini,journal_impact,Journal Impact Factor,0.0022973644787065376,-0.0019107299450982036,0.00620862698259016,2011,rep5
Individual papers,GPT-4.1 Mini,citation,Citation,-0.004425415192690203,-0.008493971099212558,-0.00021586379337881276,2011,rep5
Individual papers,GPT-4.1 Mini,empirical_share,Empirical papers,-0.013645363441783383,-0.01697356518011681,-0.009025453466164006,2011,rep5
Individual papers,GPT-4.1 Mini,recent,Publication Year,-0.0010751220704380649,-0.004223952537117884,0.002306946725439171,2011,rep5
Individual papers,GPT-4.1 Mini,biology_share,Biology Journals,0.0006242789110607445,-0.0024927071107497343,0.0036208451398295626,2011,rep5
Individual papers,GPT-4.1 Mini,economics_share,Economics Journals,-0.007430466949819126,-0.011114119700886736,-0.0032340039396447193,2011,rep5
Individual papers,GPT-4.1 Mini,psychology_share,Psychology Journals,0.0009245705646857901,-0.0022501195250751163,0.004317145736538972,2011,rep5
Individual papers,GPT-4.1 Mini,mathphysics_share,Math/Physics Journals,-0.0012333648881109938,-0.004367468894720191,0.002169782159551906,2011,rep5
Individual papers,GPT-4.1 Mini,multidisciplinary_share,Multidisciplinary Journals,-0.0005864542678360452,-0.003979750331130178,0.002550361646659678,2011,rep5
Individual papers,GPT-5.1,journal_impact,Journal Impact Factor,0.005006600993113039,0.000673081922814537,0.011302381443482555,2009,rep5
Individual papers,GPT-5.1,citation,Citation,-0.0031793572373380328,-0.010012931462335003,0.0010683363833778482,2009,rep5
Individual papers,GPT-5.1,empirical_share,Empirical papers,-0.009709874370797771,-0.01621189939896581,-0.004706609195757999,2009,rep5
Individual papers,GPT-5.1,recent,Publication Year,-0.004301918013596115,-0.009928098685834393,-0.0004410216221298393,2009,rep5
Individual papers,GPT-5.1,biology_share,Biology Journals,-8.077962917066014e-05,-0.004242513822578604,0.004019254144799986,2009,rep5
Individual papers,GPT-5.1,economics_share,Economics Journals,0.0036714714925347998,-0.0012588320058465226,0.009606039380598048,2009,rep5
Individual papers,GPT-5.1,psychology_share,Psychology Journals,-0.0015318652417515661,-0.0069561732095633775,0.0033458469800550943,2009,rep5
Individual papers,GPT-5.1,mathphysics_share,Math/Physics Journals,-0.004411187061049183,-0.010825984814223212,-0.0006796806633408952,2009,rep5
Individual papers,GPT-5.1,multidisciplinary_share,Multidisciplinary Journals,-0.0048550426729711575,-0.01087876027146741,-0.00044028128688342445,2009,rep5
Individual papers,GPT-5 Mini,journal_impact,Journal Impact Factor,0.0013757873267194855,-0.0016801812652855763,0.004749537847752641,2009,rep5
